english	source_no	source_word	mode
divide	300525	device	Listening
divide	300994	share A with B	Synonym
teamwork	200384	teammate	Listening
teamwork	300099	teenager	Listening
sender	200388	center	Listening
small phone	200389	smartphone	Listening
speakerphone	200389	smartphone	Listening
headphone	200389	smartphone	Listening
microphone	200389	smartphone	Listening
microphone	300839	microscope	Listening
cellphone	200389	smartphone	Synonym
automobile	200395	car	Synonym
mowing	200398	morning	Listening
moaning	200398	morning	Listening
get around ~	200400	go around ~	Listening
go along ~	200400	go around ~	Listening
turn away	200401	turn around	Listening
nice skating	200405	ice skating	Listening
ice reading	200405	ice skating	Listening
bike skating	200405	ice skating	Listening
ice skater	200405	ice skating	Listening
sandy	200408	CD	Listening
petty	200414	pretty	Listening
be nice to ~	200415	be kind to ~	Listening
be nice to ~	200415	be kind to ~	Synonym
be mean to ~	200415	be kind to ~	Antonym
last light	200416	last night	Listening
late night	200416	last night	Listening
this night	200416	last night	Listening
fast night	200416	last night	Listening
yesterday evening	200416	last night	Synonym
be mad at ~	200419	be bad at ~	Listening
be sad about ~	200419	be bad at ~	Listening
not be good at ~	200419	be bad at ~	Synonym
be away from ~	200420	be absent from ~	Listening
be active in ~	200420	be absent from ~	Listening
attend	200420	be absent from ~	Antonym
be sorry for ~	200423	be late for ~	Listening
be sorry for ~	200546	be ready for ~	Listening
be sorry for ~	300483	be famous for ~	Listening
be good for ~	200423	be late for ~	Listening
be good for ~	200546	be ready for ~	Listening
loop	200426	lose	Listening
loop	300158	loose	Listening
eighty	200427	eighteen	Listening
eighty	200448	eighth	Listening
ninety	200428	nineteen	Listening
as	200433	us	Listening
Shall I close the window?	200434	Shall I open the window?	Listening
Can I open the window?	200434	Shall I open the window?	Listening
Shall we open the window?	200434	Shall I open the window?	Listening
Shall I open the door?	200434	Shall I open the window?	Listening
May I leave a message?	200435	May I take a message?	Listening
Can I take a message?	200435	May I take a message?	Listening
May I make a message?	200435	May I take a message?	Listening
May I take this message?	200435	May I take a message?	Listening
on holiday	200437	on weekends	Listening
on someday	200438	on Sunday	Listening
on sunny days	200438	on Sunday	Listening
a cap for ~	200440	a cup of ~	Listening
a kind of ~	200440	a cup of ~	Listening
a kind of ~	300018	lots of ~	Listening
a kind of ~	300059	a lot of ~	Listening
a bag of ~	200440	a cup of ~	Listening
a bag of ~	200443	a glass of ~	Listening
a bag of ~	300059	a lot of ~	Listening
porter	200442	quarter	Listening
a class of ~	200443	a glass of ~	Listening
across	200444	again	Listening
across	300733	address	Listening
once more	200444	again	Synonym
once more	300650	no more ~	Listening
paid	200445	page	Listening
once a month	200446	once a week	Listening
one week	200446	once a week	Listening
sandal	200447	sandals	Listening
sandal	300241	handle	Listening
singers	200447	sandals	Listening
samples	200447	sandals	Listening
ate	200448	eighth	Listening
relevant	200449	eleventh	Listening
seaside	200453	seventh	Listening
shoemaker	200463	shopkeeper	Listening
bookkeeper	200463	shopkeeper	Listening
store owner	200463	shopkeeper	Synonym
too late	200464	toothache	Listening
sticker	200465	stapler	Listening
peas	200466	piece	Listening
peas	300622	peace	Listening
See you tonight.	200467	See you tomorrow.	Listening
See you Monday.	200467	See you tomorrow.	Listening
See you Monday.	200468	See you later.	Listening
set up	200479	get up	Listening
written	200484	listen	Listening
written	300015	listen	Listening
written	301059	children	Listening
slim	200493	swim	Listening
halfway	200498	hallway	Listening
planer	200499	player	Listening
steward	200500	student	Listening
reacher	200501	teacher	Listening
fried	200502	friend	Listening
pal	200502	friend	Synonym
marker	200504	farmer	Listening
marker	200525	harbor	Listening
marker	200529	market	Listening
van	200505	fan	Listening
Stacy	200506	Tracy	Listening
trading	200506	Tracy	Listening
schoolgirl	200508	salesclerk	Listening
magician	200510	musician	Listening
violinist	200511	pianist	Listening
loser	200513	winner	Antonym
walker	200514	worker	Listening
teacher of ~	200516	picture of ~	Listening
kitchen of ~	200516	picture of ~	Listening
future of ~	200516	picture of ~	Listening
visitor of ~	200516	picture of ~	Listening
photo of ~	200516	picture of ~	Synonym
art music	200520	art museum	Listening
art room	200520	art museum	Listening
art student	200520	art museum	Listening
criteria	200530	cafeteria	Listening
criteria	300831	cafeteria	Listening
canteen	200530	cafeteria	Synonym
canteen	300831	cafeteria	Synonym
gem	200531	gym	Listening
jet	200531	gym	Listening
music teacher	200533	movie theater	Listening
movie ticket	200533	movie theater	Listening
moving table	200533	movie theater	Listening
morning teacher	200533	movie theater	Listening
cinema	200533	movie theater	Synonym
dash	200537	dish	Listening
plays	200541	please	Listening
plays	300813	praise	Listening
hide B from A	200550	show A B	Antonym
try out ~	200553	try on ~	Listening
write now	200554	write down ~	Listening
write again	200554	write down ~	Listening
write slowly	200554	write down ~	Listening
note ~	200554	write down ~	Synonym
fighter	200556	firefighter	Listening
fireman	200556	firefighter	Synonym
fireman	300291	fireworks	Listening
live in ~	200557	arrive in ~	Listening
drive in ~	200557	arrive in ~	Listening
live at ~	200558	arrive at ~	Listening
drive at ~	200558	arrive at ~	Listening
read about ~	200561	hear about ~	Listening
ask about ~	200561	hear about ~	Listening
learn about ~	200561	hear about ~	Listening
blond	200562	blood	Listening
traffic sign	200563	traffic light	Listening
travel light	200563	traffic light	Listening
street light	200563	traffic light	Listening
snowman	200564	slow down	Listening
go slowly	200564	slow down	Synonym
go slowly	300585	go straight	Listening
speed up	200564	slow down	Antonym
speed up	200701	speak to ~	Listening
Austrian	200566	Australian	Listening
childish	200568	Chinese	Listening
start at ~	200571	stay at ~	Listening
stand at ~	200571	stay at ~	Listening
sit at ~	200571	stay at ~	Listening
study at ~	200571	stay at ~	Listening
stand in	200572	stay in	Listening
stay up	200572	stay in	Listening
stay up	200701	speak to ~	Listening
sit in	200572	stay in	Listening
step in	200572	stay in	Listening
remain at home	200572	stay in	Synonym
start with ~	200573	stay with ~	Listening
study with ~	200573	stay with ~	Listening
sit with ~	200573	stay with ~	Listening
apron	200574	apartment	Listening
repeatedly	200575	again and again	Synonym
right bag	200576	write back	Listening
white cap	200576	write back	Listening
ride back	200576	write back	Listening
light bag	200576	write back	Listening
Will you close the window?	200577	Will you open the window?	Listening
Will you open the door?	200577	Will you open the window?	Listening
Can you open the window?	200577	Will you open the window?	Listening
Will you clean the window?	200577	Will you open the window?	Listening
ask for milk	200578	ask for help	Listening
ask for lunch	200578	ask for help	Listening
look for help	200578	ask for help	Listening
wait for help	200578	ask for help	Listening
get help	200578	ask for help	Synonym
Please write now.	200579	Please write back.	Listening
Please come back.	200579	Please write back.	Listening
Please sit back.	200579	Please write back.	Listening
Please write that.	200579	Please write back.	Listening
Please reply.	200579	Please write back.	Synonym
Be careful, please.	200580	Just a minute, please.	ChoicesJaEn
Sit down, please.	200580	Just a minute, please.	ChoicesJaEn
Say it again, please.	200580	Just a minute, please.	ChoicesJaEn
Help me, please.	200580	Just a minute, please.	ChoicesJaEn
Just a moment, please.	200580	Just a minute, please.	Listening
Just a moment, please.	200580	Just a minute, please.	Synonym
Wait a minute, please.	200580	Just a minute, please.	Listening
Just a second, please.	200580	Just a minute, please.	Listening
Pardon me, please.	200580	Just a minute, please.	Listening
come out	200582	come back	Listening
go bad	200583	go back	Listening
get back	200583	go back	Listening
go black	200583	go back	Listening
get back to ~	200584	go back to ~	Listening
walk back to ~	200584	go back to ~	Listening
bad home	200585	back home	Listening
black home	200585	back home	Listening
bag home	200585	back home	Listening
bank home	200585	back home	Listening
home again	200585	back home	Synonym
call home	200586	come home	Listening
came home	200586	come home	Listening
return home	200586	come home	Synonym
return home	200587	go home	Synonym
got home	200587	go home	Listening
go hope	200587	go home	Listening
by boat	200589	by bus	Listening
by plane	200590	by train	Listening
by tram	200590	by train	Listening
by truck	200590	by train	Listening
by trail	200590	by train	Listening
serving	200591	surfing	Listening
morning room	200593	dining room	Listening
dining hall	200593	dining room	Listening
leaving	200594	living room	Listening
giving	200594	living room	Listening
living	200594	living room	Listening
baton	200595	button	Listening
baton	300524	bottom	Listening
laser	200597	eraser	Listening
racer	200597	eraser	Listening
taken	200600	bacon	Listening
weakened	200602	weekend	Listening
can't	200603	count	Listening
testbook	200604	textbook	Listening
cookbook	200604	textbook	Listening
schoolbus	200605	schoolyard	Listening
schoolwork	200605	schoolyard	Listening
search for	200607	look for ~	Synonym
look aloud	200608	look around	Listening
book around	200608	look around	Listening
cook rice	200609	look like ~	Listening
book light	200609	look like ~	Listening
good bike	200609	look like ~	Listening
long line	200609	look like ~	Listening
bus office	200612	post office	Listening
police office	200612	post office	Listening
ticket office	200612	post office	Listening
head office	200612	post office	Listening
dress shop	200616	drugstore	Listening
desk store	200616	drugstore	Listening
book shop	200618	cake shop	Listening
toy shop	200618	cake shop	Listening
toy shop	200619	flower shop	Listening
toy shop	200622	coffee shop	Listening
pet shop	200618	cake shop	Listening
cake stop	200618	cake shop	Listening
flower show	200619	flower shop	Listening
tower shop	200619	flower shop	Listening
flower stop	200619	flower shop	Listening
boy store	200620	toy store	Listening
toy story	200620	toy store	Listening
top store	200620	toy store	Listening
tall store	200620	toy store	Listening
cook store	200621	bookstore	Listening
look store	200621	bookstore	Listening
backstore	200621	bookstore	Listening
book star	200621	bookstore	Listening
bookshop	200621	bookstore	Synonym
candy shop	200622	coffee shop	Listening
coffee cup	200622	coffee shop	Listening
corner shop	200622	coffee shop	Listening
for a minute	200626	for a moment	Listening
for a minute	300957	for example	Listening
for a second	200626	for a moment	Listening
for the morning	200626	for a moment	Listening
for my mother	200626	for a moment	Listening
skipping	200628	skating	Listening
sitting	200628	skating	Listening
go skating	200630	go skiing	Listening
go skating	200755	go fishing	Listening
go skating	200777	go shopping	Listening
go camping	200630	go skiing	Listening
go camping	200755	go fishing	Listening
dark house	200633	doghouse	Listening
dollhouse	200633	doghouse	Listening
monica	200637	harmonica	Listening
a view	200638	a few ~	Listening
hamper	200640	hamster	Listening
handsome	200649	grandson	Listening
speak to	200651	talk to ~	Synonym
speak to	300042	talk to ~	Synonym
today's soup	200653	today's special	Listening
daily special	200653	today's special	Listening
daily special	200653	today's special	Synonym
table special	200653	today's special	Listening
dinner special	200653	today's special	Listening
snowball	200655	softball	Listening
shortstop	200655	softball	Listening
sunball	200655	softball	Listening
footpath	200657	football	Listening
goodball	200657	football	Listening
fullback	200657	football	Listening
ruby	200658	rugby	Listening
gone	200659	golf	Listening
base game	200661	baseball game	Listening
birthday game	200661	baseball game	Listening
table game	200661	baseball game	Listening
coke	200662	coach	Listening
speakers	200663	sneakers	Listening
snickers	200663	sneakers	Listening
sleepers	200663	sneakers	Listening
stickers	200663	sneakers	Listening
I'll ask again.	200665	I'll try again.	Listening
I'll come again.	200665	I'll try again.	Listening
I'll write again.	200665	I'll try again.	Listening
I'll play again.	200665	I'll try again.	Listening
One more time, please.	200666	That's all.	ChoicesJaEn
I like it.	200666	That's all.	ChoicesJaEn
I'll go later.	200666	That's all.	ChoicesJaEn
Good job.	200666	That's all.	ChoicesJaEn
That's nice.	200666	That's all.	Listening
That's nice.	300013	That's right.	Listening
That's mine.	200666	That's all.	Listening
That's mine.	300013	That's right.	Listening
feel tired	200667	feel better	Listening
feel hungry	200667	feel better	Listening
feel happy	200667	feel better	Listening
feel cold	200667	feel better	Listening
fleet	200668	free	Listening
sing about	200671	think about ~	Listening
talk about	200671	think about ~	Listening
I'm coming home.	200672	I'm going home.	Listening
I'm getting home.	200672	I'm going home.	Listening
I'm staying home.	200672	I'm going home.	Listening
I have to go home.	200673	I have to go now.	Listening
I want to go now.	200673	I have to go now.	Listening
I have to do it.	200673	I have to go now.	Listening
I have to go out.	200673	I have to go now.	Listening
I don't sleep well.	200674	I don't feel well.	Listening
I don't look well.	200674	I don't feel well.	Listening
I can't feel well.	200674	I don't feel well.	Listening
I don't feel cold.	200674	I don't feel well.	Listening
Not very big.	200675	Not very good.	Listening
Not very cold.	200675	Not very good.	Listening
Not very fast.	200675	Not very good.	Listening
Not very long.	200675	Not very good.	Listening
These are not cheap.	200676	These are on sale.	Listening
These are very small.	200676	These are on sale.	Listening
These are for school.	200676	These are on sale.	Listening
These are my shoes.	200676	These are on sale.	Listening
sit on the bed	200677	be sick in bed	Listening
sleep in class	200677	be sick in bed	Listening
pick up the bag	200677	be sick in bed	Listening
read in the room	200677	be sick in bed	Listening
take up	200680	wake up	Listening
Thanks.	200686	Thanks a lot.	Listening
That is a lot.	200686	Thanks a lot.	Listening
Thanks a bunch.	200686	Thanks a lot.	Listening
classman	200687	classmate	Listening
schoolfriend	200687	classmate	Synonym
hairband	200689	hairstyle	Listening
make a cake	200698	take a photo	Listening
write a note	200698	take a photo	Listening
go on a train	200699	go on a trip	Listening
go to a park	200699	go on a trip	Listening
follow	200700	borrow	Listening
follow	300362	lead ~	Antonym
follow	300628	shallow	Listening
spell out	200701	speak to ~	Listening
speak up	200701	speak to ~	Listening
talk to	200701	speak to ~	Synonym
next Monday	200709	next month	Listening
lost	200710	last	Listening
lost	300225	last	Listening
least	200710	last	Listening
least	300490	most	Antonym
have a big dinner	200714	have a good idea	Listening
have a good teacher	200714	have a good idea	Listening
have a new camera	200714	have a good idea	Listening
have a blue jacket	200714	have a good idea	Listening
think of a good plan	200714	have a good idea	Synonym
next weekend	200724	this weekend	Listening
this evening	200724	this weekend	Listening
this evening	300033	tonight	Synonym
this evening	300062	this morning	Listening
last weekend	200724	this weekend	Listening
all night long	200726	all day long	Listening
all year long	200726	all day long	Listening
all week long	200726	all day long	Listening
throughout the year	200727	all year round	Synonym
play chess	200728	play catch	Listening
play cards	200728	play catch	Listening
play tag	200728	play catch	Listening
at dinner	200729	after dinner	Listening
before dinner	200729	after dinner	Listening
after class	200730	after school	Listening
after work	200730	after school	Listening
nine o'clock	200731	five o'clock	Listening
five thirty	200731	five o'clock	Listening
five fifteen	200731	five o'clock	Listening
nine minutes	200732	five minutes	Listening
five seconds	200732	five minutes	Listening
few minutes	200732	five minutes	Listening
echo	200733	ago	Listening
time to	200734	time for ~	Listening
until	200736	till ~	Synonym
until	300442	unless	Listening
sang	200740	thank	Listening
except	200741	excuse	Listening
except	300824	accept	Listening
except	300937	expect	Listening
fast of all	200744	first of all	Listening
best of all	200744	first of all	Listening
last of all	200744	first of all	Listening
lipstick	200748	chopstick	Listening
sailing	200750	ceiling	Listening
seedling	200750	ceiling	Listening
seating	200750	ceiling	Listening
kids	200751	kiss	Listening
kids	301059	children	Synonym
metro	200752	subway	Synonym
take a taxi	200753	take a plane	Listening
take a boat	200753	take a plane	Listening
pail	200758	pair	Listening
three a day	200760	twice a day	Listening
cinnamon	200763	centimeter	Listening
telegram	200764	kilogram	Listening
connect	200766	colleague	Listening
connect	300347	collect	Listening
spent	200769	spend	Listening
See you very much.	200776	Thank you very much.	Listening
go jogging	200777	go shopping	Listening
bent	200778	belt	Listening
built	200778	belt	Listening
bus shop	200779	bus stop	Listening
back stop	200779	bus stop	Listening
big stop	200779	bus stop	Listening
best spot	200779	bus stop	Listening
go biking	200781	go hiking	Listening
like to eat	200782	like to do	Listening
like to play	200782	like to do	Listening
like to read	200782	like to do	Listening
like to sing	200782	like to do	Listening
bracket	200783	blanket	Listening
cook at	200784	look at ~	Listening
crying	200785	crayon	Listening
ringing	200790	raining	Listening
writing	200790	raining	Listening
writing	301007	sightseeing	Listening
Have a nice time.	200796	Have a nice trip.	Listening
Have a good trip.	200796	Have a nice trip.	Listening
Have a good trip.	301039	Have a safe trip.	Listening
Have a nice week.	200797	Have a nice weekend.	Listening
Have a nice evening.	200797	Have a nice weekend.	Listening
Have a nice meal.	200797	Have a nice weekend.	Listening
woods	200799	forest	Synonym
good day	200804	goodbye	Listening
good boy	200804	goodbye	Listening
thinking	200805	thank you	Listening
houses	200806	housework	Listening
jog	200807	job	Listening
You're late.	200810	You're right.	Listening
You're nice.	200810	You're right.	Listening
You're busy.	200810	You're right.	Listening
You're ready.	200810	You're right.	Listening
That's correct.	200810	You're right.	Synonym
That's correct.	300013	That's right.	Synonym
poppy	200811	puppy	Listening
puppet	200811	puppy	Listening
senior high school	200813	junior high school	Listening
language school	200813	junior high school	Listening
night school	200813	junior high school	Listening
night school	300083	high school	Listening
need to do	200814	have to do	Listening
need to do	300227	manage to do	Listening
plan to do	200814	have to do	Listening
plan to do	300227	manage to do	Listening
plan to do	300656	happen to do	Listening
plan to do	300695	used to do	Listening
plan to do	300825	promise to do	Listening
plan to do	301074	pretend to do	Listening
be worried about	200821	be interested in ~	Listening
how old	200822	how often	Listening
how old	200823	how long	Listening
how far	200823	how long	Listening
Yes, please.	300001	No, thank you. I'm full.	ChoicesJaEn
More, please.	300001	No, thank you. I'm full.	ChoicesJaEn
It's very good.	300001	No, thank you. I'm full.	ChoicesJaEn
No, thank you. I'm fine.	300001	No, thank you. I'm full.	Listening
No, thank you. I'm busy.	300001	No, thank you. I'm full.	Listening
No, thank you. I'm sick.	300001	No, thank you. I'm full.	Listening
No, thank you. I'm cold.	300001	No, thank you. I'm full.	Listening
You are very kind.	300002	You're welcome.	Listening
Your bag is open.	300002	You're welcome.	Listening
We are ready.	300002	You're welcome.	Listening
You look happy.	300002	You're welcome.	Listening
have a big bag	300003	have a good time	Listening
have a long walk	300003	have a good time	Listening
have a good trip	300003	have a good time	Listening
enjoy oneself	300003	have a good time	Synonym
vinyl	300007	final	Listening
finder	300007	final	Listening
best-loved	300008	favorite	Synonym
least favorite	300008	favorite	Antonym
well-liked	300010	popular	Synonym
unpopular	300010	popular	Antonym
youthful	300011	useful	Listening
owners	300012	ours	Listening
That's fine.	300013	That's right.	Listening
Good teacher.	300014	Good idea!	Listening
Good player.	300014	Good idea!	Listening
nice idea	300014	Good idea!	Synonym
highland	300016	Thailand	Listening
Thai	300016	Thailand	Listening
a pair of ~	300018	lots of ~	Listening
Should we ~?	300021	Shall we ~?	Listening
Will we ~?	300021	Shall we ~?	Listening
Excuse me?	300024	Pardon?	Synonym
of school	300025	of course	Listening
of corn	300025	of course	Listening
of town	300025	of course	Listening
May we ~?	300026	May I ~?	Listening
Will I ~?	300026	May I ~?	Listening
look up ~	300027	look at ~	Listening
look into ~	300028	listen to ~	Listening
lesson two	300028	listen to ~	Listening
listen again	300028	listen to ~	Listening
little tune	300028	listen to ~	Listening
Let me ~.	300029	Let's ~.	Listening
Please ~.	300029	Let's ~.	Listening
Just a minute.	300030	Just a moment.	Listening
At the moment.	300030	Just a moment.	Listening
One more minute.	300030	Just a moment.	Listening
Wait a moment.	300030	Just a moment.	Listening
Wait a moment.	301010	Wait a minute.	Listening
just a minute	300030	Just a moment.	Synonym
I'd love to ~.	300032	I'd like to ~.	Listening
I need to ~.	300032	I'd like to ~.	Listening
I plan to ~.	300032	I'd like to ~.	Listening
tony	300033	tonight	Listening
watch my bag	300036	wash my hands	Listening
wash the dish	300036	wash my hands	Listening
close my hands	300036	wash my hands	Listening
touch my hat	300036	wash my hands	Listening
work for ~	300038	wait for ~	Listening
work for ~	300324	work on ~	Listening
wake up ~	300038	wait for ~	Listening
wake up ~	300051	pick up ~	Listening
turn up ~	300040	turn on ~	Listening
turn up ~	300041	turn off ~	Listening
turn back	300040	turn on ~	Listening
turn back	300041	turn off ~	Listening
turn off	300040	turn on ~	Antonym
turn on	300041	turn off ~	Antonym
take two	300042	talk to ~	Listening
talk again	300042	talk to ~	Listening
take out ~	300043	take off ~	Listening
take out ~	300470	take part in ~	Listening
make up ~	300043	take off ~	Listening
take a book	300044	take a walk	Listening
take a flower	300045	take a shower	Listening
take an hour	300045	take a shower	Listening
make a shower	300045	take a shower	Listening
take a tower	300045	take a shower	Listening
take a pitcher	300046	take a picture	Listening
take a picnic	300046	take a picture	Listening
make a picture	300046	take a picture	Listening
take a ticket	300046	take a picture	Listening
take a bag	300047	take a bath	Listening
take a back	300047	take a bath	Listening
take a path	300047	take a bath	Listening
make a bath	300047	take a bath	Listening
swimming school	300048	swimming pool	Listening
summer pool	300048	swimming pool	Listening
swimming cap	300048	swimming pool	Listening
I sit.	300049	I see.	Listening
I sing.	300049	I see.	Listening
I said.	300049	I see.	Listening
I think.	300049	I see.	Listening
I understand	300049	I see.	Synonym
put up ~	300050	put on ~	Listening
put up ~	300051	pick up ~	Listening
pull on ~	300050	put on ~	Listening
put out ~	300050	put on ~	Listening
kick up ~	300051	pick up ~	Listening
pick out ~	300051	pick up ~	Listening
put down	300051	pick up ~	Antonym
cook for ~	300053	look for ~	Listening
long for ~	300053	look for ~	Listening
book for ~	300053	look for ~	Listening
search for ~	300053	look for ~	Synonym
very well	300055	very much	Listening
very good	300055	very much	Listening
pretty much	300055	very much	Listening
so much	300055	very much	Listening
We do.	300056	Me too.	Listening
Meet me.	300056	Me too.	Listening
Me first.	300056	Me too.	Listening
piano room	300058	piano lesson	Listening
violin lesson	300058	piano lesson	Listening
reading lesson	300058	piano lesson	Listening
lots of	300059	a lot of ~	Synonym
lots of	300276	plenty of ~	Synonym
a letter	300060	a little	Listening
a bit	300060	a little	Synonym
a lot	300060	a little	Antonym
a lot	300558	at most	Listening
have a coat	300061	have a cold	Listening
have a card	300061	have a cold	Listening
have a call	300061	have a cold	Listening
have a cup	300061	have a cold	Listening
this Monday	300062	this morning	Listening
that morning	300062	this morning	Listening
go to the pool	300063	go to school	Listening
go to the store	300063	go to school	Listening
middle school	300064	elementary school	Listening
music room	300064	elementary school	Listening
summer school	300064	elementary school	Listening
school bus	300064	elementary school	Listening
primary school	300064	elementary school	Synonym
went to ~	300065	get to ~	Listening
arrive at	300065	get to ~	Synonym
get out	300066	get on ~	Listening
get out	300067	get off ~	Listening
get out	300891	set ~ up	Listening
get off	300066	get on ~	Antonym
cut off ~	300067	get off ~	Listening
cut off ~	300195	call off ~	Listening
cut off ~	300252	put off ~	Listening
do housework	300068	do homework	Listening
do morning work	300068	do homework	Listening
do hard work	300068	do homework	Listening
do home cooking	300068	do homework	Listening
clear up	300069	clean up	Listening
green up	300069	clean up	Listening
climb up	300069	clean up	Listening
line up	300069	clean up	Listening
tidy up	300069	clean up	Synonym
mess up	300069	clean up	Antonym
close my room	300070	clean my room	Listening
clean the room	300070	clean my room	Listening
read my book	300070	clean my room	Listening
brush my hair	300071	brush my teeth	Listening
wash my teeth	300071	brush my teeth	Listening
brush your teeth	300071	brush my teeth	Listening
brush my face	300071	brush my teeth	Listening
supplied	300072	surprised	Listening
amazed	300072	surprised	Synonym
How tall is ~?	300074	How old is ~?	Listening
How tall is ~?	300129	How far is ~?	Listening
How large is ~?	300074	How old is ~?	Listening
What about ~?	300077	How about ~?	Listening
What about ~?	300077	How about ~?	Synonym
cop	300079	police officer	Synonym
cop	300941	cough	Listening
well-known	300081	famous	Synonym
old school	300083	high school	Listening
my school	300083	high school	Listening
cottage	300084	college	Listening
cottage	300185	courage	Listening
everybody	300085	everyone	Synonym
everybody	300107	everything	Listening
Could I ~?	300086	Can I ~?	Listening
Should I ~?	300086	Can I ~?	Listening
somebody	300088	someone	Synonym
send off	300091	see ~ off	Listening
set off	300091	see ~ off	Listening
show ~ out	300091	see ~ off	Listening
overcoat	300092	overseas	Listening
in front	300094	in fact	Listening
skated	300095	scared	Listening
outgoing	300096	shy	Antonym
all the while	300097	after a while	Listening
for a while	300097	after a while	Listening
for a while	300957	for example	Listening
cried	300098	crime	Listening
Sounds great.	300101	Sounds good.	Listening
Sounds great.	300102	That sounds great.	Synonym
Looks good.	300101	Sounds good.	Listening
That is good.	300101	Sounds good.	Listening
That sounds good.	300101	Sounds good.	Synonym
That sounds good.	300102	That sounds great.	Listening
That looks great.	300102	That sounds great.	Listening
It sounds great.	300102	That sounds great.	Listening
That was great.	300102	That sounds great.	Listening
goes	300103	gas	Listening
monthly	300108	mostly	Listening
yearly	300109	nearly	Listening
almost not	300110	hardly	Synonym
by yourself	300111	by oneself	Listening
by himself	300111	by oneself	Listening
by itself	300111	by oneself	Listening
anyway	300117	anyone	Listening
anyway	300118	anything	Listening
slave	300124	sleeve	Listening
sled	300124	sleeve	Listening
catch ~	300125	reach ~	Listening
as useful	300128	as usual	Listening
as often	300128	as usual	Listening
a student	300128	as usual	Listening
How fast is ~?	300129	How far is ~?	Listening
How hard is ~?	300129	How far is ~?	Listening
Can you cook?	300131	Can you come?	Listening
Can you call?	300131	Can you come?	Listening
Can you go?	300131	Can you come?	Listening
Can you wait?	300131	Can you come?	Listening
introduce	300133	interview	Listening
introduce	300292	industry	Listening
How strong is ~?	300134	How long is ~?	Listening
How small is ~?	300134	How long is ~?	Listening
How short is ~?	300134	How long is ~?	Listening
take A to B	300135	invite A to B	Listening
at the stadium	300136	at the station	Listening
at the table	300136	at the station	Listening
at the stop	300136	at the station	Listening
one time	300137	on time	Listening
long time	300137	on time	Listening
punctually	300137	on time	Synonym
meal time	300139	meanwhile	Listening
midway	300139	meanwhile	Listening
prime	300141	prize	Listening
fought	300144	fault	Listening
fort	300144	fault	Listening
weak point	300144	fault	Synonym
make peace	300147	fight	Antonym
bring to ~	300148	belong to ~	Listening
begin to ~	300148	belong to ~	Listening
include	300150	increase	Listening
include	300356	encourage	Listening
include	300418	contain	Synonym
include	300541	improve	Listening
track ~	300152	trust ~	Listening
trick ~	300152	trust ~	Listening
dress ~	300152	trust ~	Listening
touch ~	300152	trust ~	Listening
touch ~	300287	such as ~	Listening
show to ~	300154	bow to ~	Listening
rod	300160	rock	Listening
lightly	300165	loudly	Listening
lightly	300371	luckily	Listening
lightly	300523	quietly	Listening
lightly	300605	lately	Listening
lightly	300761	likely	Listening
roundly	300165	loudly	Listening
proudly	300165	loudly	Listening
proudly	301000	probably	Listening
tycoon	300167	typhoon	Listening
tyler	300167	typhoon	Listening
try ~	300168	tie ~	Listening
type ~	300168	tie ~	Listening
turn ~	300168	tie ~	Listening
untie	300168	tie ~	Antonym
booking	300179	reservation	Synonym
as long as B	300181	A as well as B	Listening
as soon as B	300181	A as well as B	Listening
all of A and B	300181	A as well as B	Listening
always A and B	300181	A as well as B	Listening
and also	300181	A as well as B	Synonym
shin	300182	chin	Listening
helium	300186	heroine	Listening
rang	300188	lung	Listening
getter	300189	gather	Listening
whoever	300190	however	Listening
hover	300190	however	Listening
tried	300191	trade	Listening
impolite	300194	impossible	Listening
impolite	300561	important	Listening
impolite	300639	rude	Synonym
carry on ~	300195	call off ~	Listening
carry on ~	300250	carry out ~	Listening
call up ~	300195	call off ~	Listening
death	300196	deaf	Listening
death	300422	depth	Listening
bland	300197	blind	Listening
sighted	300197	blind	Antonym
prefer	300199	perform	Listening
prefer	300348	prepare	Listening
tropic	300200	traffic	Listening
tropic	300909	topic	Listening
supporting	300201	surprising	Listening
supplies	300201	surprising	Listening
supplies	300847	surprise	Listening
amazing	300201	surprising	Synonym
go left	300204	turn left	Listening
keep left	300204	turn left	Listening
look left	300204	turn left	Listening
turn light	300205	turn right	Listening
go right	300205	turn right	Listening
walk right	300205	turn right	Listening
move right	300205	turn right	Listening
by the door	300209	by the way	Listening
find a way	300209	by the way	Listening
find a way	300511	far away	Listening
complete	300210	compare	Listening
complete	300389	complex	Listening
complete	300647	confused	Listening
compass	300210	compare	Listening
be bored	300218	be born	Listening
be warm	300218	be born	Listening
be gone	300218	be born	Listening
come near	300219	approach	Synonym
move away	300219	approach	Antonym
connect ~	300220	contact ~	Listening
contract ~	300220	contact ~	Listening
analog	300222	digital	Antonym
battle	300223	bottle	Listening
battle	300273	battery	Listening
be finished with ~	300224	be filled with ~	Listening
full of	300224	be filled with ~	Synonym
be empty	300224	be filled with ~	Antonym
be empty	300312	be full of ~	Antonym
spill	300226	still	Listening
spill	301052	spell	Listening
learn to do	300227	manage to do	Listening
roughly	300229	exactly	Antonym
unwrap	300233	wrap	Antonym
army	300235	artist	Listening
pointed	300239	sharp	Synonym
handy	300241	handle	Listening
manage	300246	control	Synonym
manage	300435	damage	Listening
manage	300458	message	Listening
hand out ~	300248	find out ~	Listening
figure out ~	300248	find out ~	Listening
