"english","sourceNo","sourceWord","mode"
"Have time.","200171","Have fun.","Listening"
"Have cake.","200171","Have fun.","Listening"
"Have milk.","200171","Have fun.","Listening"
"promise","200172","fun","ChoicesJaEn"
"promise","200172","fun","Listening"
"get out of","200173","get into","ChoicesJaEn"
"put on","200173","get into","ChoicesJaEn"
"wait for","200173","get into","ChoicesJaEn"
"get in","200173","get into","Listening"
"get on","200173","get into","Listening"
"go into","200173","get into","Listening"
"went into","200173","get into","Listening"
"go to work","200174","go to bed","Listening"
"go by bus","200174","go to bed","Listening"
"open","200175","come in","ChoicesJaEn"
"coming","200175","come in","Listening"
"enter","200175","come in","Synonym"
"leave there","200176","get there","ChoicesJaEn"
"live there","200176","get there","ChoicesJaEn"
"see there","200176","get there","ChoicesJaEn"
"sit there","200176","get there","ChoicesJaEn"
"get here","200176","get there","Listening"
"get home","200176","get there","Listening"
"go there","200176","get there","Listening"
"went there","200176","get there","Listening"
"almost","200177","all over","ChoicesJaEn"
"almost","200177","all over","Listening"
"allow","200177","all over","Listening"
"decide to do","200179","have a hard time doing","ChoicesJaEn"
"practice doing","200179","have a hard time doing","ChoicesJaEn"
"explain ~","200179","have a hard time doing","ChoicesJaEn"
"have to study","200179","have a hard time doing","Listening"
"have lunch","200179","have a hard time doing","Listening"
"have trouble","200179","have a hard time doing","Synonym"
"Good luck!","200180","It's wonderful!","ChoicesJaEn"
"See you!","200180","It's wonderful!","ChoicesJaEn"
"Take care.","200180","It's wonderful!","ChoicesJaEn"
"It's beautiful!","200180","It's wonderful!","Listening"
"It's colorful!","200180","It's wonderful!","Listening"
"It's helpful!","200180","It's wonderful!","Listening"
"It's powerful!","200180","It's wonderful!","Listening"
"Take care.","200181","Best wishes.","ChoicesJaEn"
"please.","200181","Best wishes.","ChoicesJaEn"
"Best fishes.","200181","Best wishes.","Listening"
"Best teachers.","200181","Best wishes.","Listening"
"Best pictures.","200181","Best wishes.","Listening"
"Best windows.","200181","Best wishes.","Listening"
"Take care.","200182","I'll do my best.","ChoicesJaEn"
"I'll do my test.","200182","I'll do my best.","Listening"
"I'll do my rest.","200182","I'll do my best.","Listening"
"I'll do my task.","200182","I'll do my best.","Listening"
"I'll do my work.","200182","I'll do my best.","Listening"
"expected","200183","excited","Listening"
"be hard","200184","be fun","ChoicesJaEn"
"be easy","200184","be fun","ChoicesJaEn"
"be boring","200184","be fun","ChoicesJaEn"
"be busy","200184","be fun","ChoicesJaEn"
"be fine","200184","be fun","Listening"
"be full","200184","be fun","Listening"
"be fast","200184","be fun","Listening"
"be new","200184","be fun","Listening"
"be enjoyable","200184","be fun","Synonym"
"be boring","200184","be fun","Antonym"
"meet ~","200185","say goodbye to ~","ChoicesJaEn"
"help ~","200185","say goodbye to ~","ChoicesJaEn"
"stay close to ~","200185","say goodbye to ~","Listening"
"Please hold on.","200186","Thanks for calling.","ChoicesJaEn"
"I'll call back later.","200186","Thanks for calling.","ChoicesJaEn"
"Who is this?","200186","Thanks for calling.","ChoicesJaEn"
"Thanks for coming.","200186","Thanks for calling.","Listening"
"Thanks for waiting.","200186","Thanks for calling.","Listening"
"Time for calling.","200186","Thanks for calling.","Listening"
"Thanks for talking.","200186","Thanks for calling.","Listening"
"It looks expensive.","200187","It looks good.","ChoicesJaEn"
"It looks difficult.","200187","It looks good.","ChoicesJaEn"
"It looks new.","200187","It looks good.","ChoicesJaEn"
"It looks interesting.","200187","It looks good.","ChoicesJaEn"
"It looks great.","200187","It looks good.","Listening"
"It sounds good.","200187","It looks good.","Listening"
"It feels good.","200187","It looks good.","Listening"
"It looks bad.","200187","It looks good.","Listening"
"I'm happy to help you.","200188","I'm glad to meet you.","ChoicesJaEn"
"I'm glad to see you again.","200188","I'm glad to meet you.","ChoicesJaEn"
"I'm happy to talk with you.","200188","I'm glad to meet you.","ChoicesJaEn"
"I came to see you.","200188","I'm glad to meet you.","ChoicesJaEn"
"I'm glad to see you.","200188","I'm glad to meet you.","Listening"
"I'm happy to meet you.","200188","I'm glad to meet you.","Listening"
"I'm glad to help you.","200188","I'm glad to meet you.","Listening"
"I'm ready to meet you.","200188","I'm glad to meet you.","Listening"
"I'm happy.","200189","I'm sad.","ChoicesJaEn"
"I'm tired.","200189","I'm sad.","ChoicesJaEn"
"I'm busy.","200189","I'm sad.","ChoicesJaEn"
"I'm fine.","200189","I'm sad.","ChoicesJaEn"
"I'm glad.","200189","I'm sad.","Listening"
"I'm tired.","200189","I'm sad.","Listening"
"I'm busy.","200189","I'm sad.","Listening"
"I'm fine.","200189","I'm sad.","Listening"
"I'm happy.","200189","I'm sad.","Antonym"
"I'm angry.","200190","I'm surprised.","ChoicesJaEn"
"I'm sleepy.","200190","I'm surprised.","ChoicesJaEn"
"I'm worried.","200190","I'm surprised.","ChoicesJaEn"
"I'm sleepy.","200190","I'm surprised.","Listening"
"I'm excited.","200190","I'm surprised.","Listening"
"I'm afraid.","200190","I'm surprised.","Listening"
"That's great.","200191","That's too bad.","ChoicesJaEn"
"That's easy.","200191","That's too bad.","ChoicesJaEn"
"That's true.","200191","That's too bad.","ChoicesJaEn"
"That's too big.","200191","That's too bad.","Listening"
"That's too hard.","200191","That's too bad.","Listening"
"That's so sad.","200191","That's too bad.","Listening"
"That is too late.","200191","That's too bad.","Listening"
"That's a shame.","200191","That's too bad.","Synonym"
"here's","200192","there's","ChoicesJaEn"
"those","200192","there's","Listening"
"open","200193","OK","Listening"
"behind ~","200195","in front of ~","ChoicesJaEn"
"in ~","200195","in front of ~","ChoicesJaEn"
"under ~","200195","in front of ~","ChoicesJaEn"
"near ~","200195","in front of ~","ChoicesJaEn"
"behind ~","200195","in front of ~","Listening"
"in place of ~","200195","in front of ~","Listening"
"in spite of ~","200195","in front of ~","Listening"
"in charge of ~","200195","in front of ~","Listening"
"behind ~","200195","in front of ~","Antonym"
"most family","200196","host family","Listening"
"hot family","200196","host family","Listening"
"home family","200196","host family","Listening"
"guest family","200196","host family","Listening"
"enjoy ~","200200","worry about ~","ChoicesJaEn"
"start ~","200200","worry about ~","ChoicesJaEn"
"choose ~","200200","worry about ~","ChoicesJaEn"
"visit ~","200200","worry about ~","ChoicesJaEn"
"be sorry about ~","200200","worry about ~","Listening"
"walk around","200200","worry about ~","Listening"
"be anxious about ~","200200","worry about ~","Synonym"
"feel calm about ~","200200","worry about ~","Antonym"
"mask","200201","miss","Listening"
"cheerful","200203","sleepy","ChoicesJaEn"
"server","200204","waitress","Synonym"
"moving","200206","movie","Listening"
"as fast","200208","at last","Listening"
"train station","200210","fire station","Listening"
"gas station","200210","fire station","Listening"
"on the last day","200211","on the first day","ChoicesJaEn"
"the next day","200211","on the first day","ChoicesJaEn"
"on the third day","200211","on the first day","Listening"
"on the birthday","200211","on the first day","Listening"
"on the school day","200211","on the first day","Listening"
"accordion","200212","aquarium","Listening"
"lily","200214","tulip","ChoicesJaEn"
"sunflower","200214","tulip","ChoicesJaEn"
"violet","200214","tulip","ChoicesJaEn"
"turtle","200214","tulip","Listening"
"candle","200217","sandwich","Listening"
"faster","200219","pasta","Listening"
"past","200219","pasta","Listening"
"fight with ~","200222","become friends with ~","ChoicesJaEn"
"greet ~","200222","become friends with ~","ChoicesJaEn"
"help ~","200222","become friends with ~","ChoicesJaEn"
"call ~","200222","become friends with ~","ChoicesJaEn"
"become free","200222","become friends with ~","Listening"
"meet a friend","200222","become friends with ~","Listening"
"call a friend","200222","become friends with ~","Listening"
"inside","200223","front","ChoicesJaEn"
"frog","200223","front","Listening"
"inside","200223","front","Listening"
"in ~","200225","out of ~","ChoicesJaEn"
"on ~","200225","out of ~","ChoicesJaEn"
"under ~","200225","out of ~","ChoicesJaEn"
"near ~","200225","out of ~","ChoicesJaEn"
"outside ~","200225","out of ~","Listening"
"about ~","200225","out of ~","Listening"
"off ~","200225","out of ~","Listening"
"over ~","200225","out of ~","Listening"
"all week","200226","all day","ChoicesJaEn"
"every morning","200226","all day","ChoicesJaEn"
"African","200227","American","Listening"
"Mexican","200227","American","Listening"
"Italian","200227","American","Listening"
"cheery","200229","cherry","Listening"
"Jerry","200229","cherry","Listening"
"pear","200230","grape","ChoicesJaEn"
"globe","200230","grape","Listening"
"orchid","200231","orange","Listening"
"lemon","200232","peach","ChoicesJaEn"
"pitch","200232","peach","Listening"
"blueberry","200234","strawberry","Listening"
"am","200236","shall","ChoicesJaEn"
"shell","200236","shall","Listening"
"arm","200238","air","Listening"
"glow","200239","grow","Listening"
"crow","200239","grow","Listening"
"gray","200239","grow","Listening"
"lend A B","200241","tell A about B","ChoicesJaEn"
"choose A and B","200241","tell A about B","ChoicesJaEn"
"collect B from A","200241","tell A about B","ChoicesJaEn"
"talk to A about B","200241","tell A about B","Listening"
"think about B","200241","tell A about B","Listening"
"write about B","200241","tell A about B","Listening"
"learn about B","200241","tell A about B","Listening"
"talk to A about B","200241","tell A about B","Synonym"
"pan","200242","pay","Listening"
"Thank you.","200244","Here you are.","ChoicesJaEn"
"Excuse me.","200244","Here you are.","ChoicesJaEn"
"Goodbye.","200244","Here you are.","ChoicesJaEn"
"Take care.","200244","Here you are.","ChoicesJaEn"
"There you are.","200244","Here you are.","Listening"
"Here we go.","200244","Here you are.","Listening"
"Where are you?","200244","Here you are.","Listening"
"windowpane","200245","window","Listening"
"miller","200246","mirror","Listening"
"lead","200247","leave","Listening"
"go away","200247","leave","Synonym"
"open","200248","return","ChoicesJaEn"
"enter","200249","pass","ChoicesJaEn"
"open","200249","pass","ChoicesJaEn"
"past","200249","pass","Listening"
"triple","200250","travel","Listening"
"run to ~","200251","walk to ~","ChoicesJaEn"
"drive to ~","200251","walk to ~","ChoicesJaEn"
"fly to ~","200251","walk to ~","ChoicesJaEn"
"swim to ~","200251","walk to ~","ChoicesJaEn"
"work at ~","200251","walk to ~","Listening"
"walk home","200251","walk to ~","Listening"
"go on foot","200251","walk to ~","Synonym"
"return to ~","200252","go to ~","ChoicesJaEn"
"run to ~","200252","go to ~","ChoicesJaEn"
"good job","200252","go to ~","Listening"
"crab","200253","cross","Listening"
"go down","200254","climb","Antonym"
"promise","200255","luck","ChoicesJaEn"
"bad luck","200255","luck","Antonym"
"syrup","200256","cereal","Listening"
"zero","200256","cereal","Listening"
"yarn","200258","yard","Listening"
"I want ~.","200259","Thank you for ~.","ChoicesJaEn"
"I like ~.","200259","Thank you for ~.","ChoicesJaEn"
"I know ~.","200259","Thank you for ~.","ChoicesJaEn"
"I go to ~.","200259","Thank you for ~.","ChoicesJaEn"
"Thanks for ~.","200259","Thank you for ~.","Listening"
"You are welcome.","200259","Thank you for ~.","Listening"
"I am thankful.","200259","Thank you for ~.","Listening"
"Thanks for ~.","200259","Thank you for ~.","Synonym"
"mole","200260","more","Listening"
"less","200260","more","Antonym"
"lemon","200262","melon","Listening"
"cabin","200263","cabbage","Listening"
"campus","200263","cabbage","Listening"
"life","200264","leaf","Listening"
"lead","200264","leaf","Listening"
"coconut","200265","cucumber","Listening"
"meet ~","200266","say hello to ~","ChoicesJaEn"
"help ~","200266","say hello to ~","ChoicesJaEn"
"stay close to ~","200266","say hello to ~","Listening"
"greet ~","200266","say hello to ~","Synonym"
"open","200269","set","ChoicesJaEn"
"before long","200270","soon","Synonym"
"keep doing","200271","be glad to do","ChoicesJaEn"
"forget to do","200271","be glad to do","ChoicesJaEn"
"be kind to","200271","be glad to do","Listening"
"keep doing","200272","be happy to do","ChoicesJaEn"
"be ready to do","200272","be happy to do","Listening"
"be sorry to do","200272","be happy to do","Listening"
"be nice to do","200272","be happy to do","Listening"
"grand","200273","glad","Listening"
"bookcase","200274","suitcase","Listening"
"sock","200275","rock","Listening"
"arm","200276","bone","ChoicesJaEn"
"born","200276","bone","Listening"
"fill","200277","feel","Listening"
"fell","200277","feel","Listening"
"forget to do","200278","enjoy doing","ChoicesJaEn"
"enjoy reading","200278","enjoy doing","Listening"
"enjoy cooking","200278","enjoy doing","Listening"
"enjoy singing","200278","enjoy doing","Listening"
"enjoy skating","200278","enjoy doing","Listening"
"good job","200279","get well","Listening"
"get sick","200279","get well","Antonym"
"write ~","200280","listen to ~","ChoicesJaEn"
"read ~","200280","listen to ~","ChoicesJaEn"
"speak ~","200280","listen to ~","ChoicesJaEn"
"read ~","200280","listen to ~","Listening"
"write ~","200280","listen to ~","Listening"
"found","200281","sound","Listening"
"fountain","200282","mountain","Listening"
"shoe","200283","boot","ChoicesJaEn"
"sock","200283","boot","ChoicesJaEn"
"crab","200285","clap","Listening"
"applaud","200285","clap","Synonym"
"hit","200286","kick","ChoicesJaEn"
"kit","200286","kick","Listening"
"bow","200287","shake hands","ChoicesJaEn"
"shake head","200287","shake hands","Listening"
"take hands","200287","shake hands","Listening"
"shook hands","200287","shake hands","Listening"
"wash hands","200287","shake hands","Listening"
"hit","200288","hug","ChoicesJaEn"
"bug","200288","hug","Listening"
"open","200289","keep","ChoicesJaEn"
"cape","200290","cave","Listening"
"came","200290","cave","Listening"
"New Year's Day","200291","Halloween","ChoicesJaEn"
"summer vacation","200291","Halloween","ChoicesJaEn"
"tire","200292","fire","Listening"
"orange juice","200293","hot chocolate","ChoicesJaEn"
"hot coffee","200293","hot chocolate","Listening"
"cold chocolate","200293","hot chocolate","Listening"
"hot chicken","200293","hot chocolate","Listening"
"octopus","200294","whale","ChoicesJaEn"
"in the beginning","200297","at first","Synonym"
"less and less","200298","more and more","Antonym"
"flag","200303","fly","Listening"
"rug","200308","run","Listening"
"ram","200308","run","Listening"
"slip","200310","sleep","Listening"
"reach","200313","teach","Listening"
"open","200315","wash","ChoicesJaEn"
"wish","200315","wash","Listening"
"bee","200317","butterfly","ChoicesJaEn"
"dragonfly","200317","butterfly","ChoicesJaEn"
"ant","200317","butterfly","ChoicesJaEn"
"frog","200317","butterfly","ChoicesJaEn"
"highway","200318","Hawaii","Listening"
"Thank you.","200319","That's OK.","ChoicesJaEn"
"Hello.","200319","That's OK.","ChoicesJaEn"
"Goodbye.","200319","That's OK.","ChoicesJaEn"
"That is it.","200319","That's OK.","Listening"
"Take care.","200319","That's OK.","Listening"
"Thank you.","200319","That's OK.","Listening"
"All right.","200319","That's OK.","Synonym"
"spider","200320","spaghetti","Listening"
"sporty","200320","spaghetti","Listening"
"gloves","200321","clothes","ChoicesJaEn"
"clothing","200321","clothes","Synonym"
"noon","200322","New Year","Listening"
"earning","200324","earring","Listening"
"orange juice","200325","grape juice","ChoicesJaEn"
"apple juice","200325","grape juice","ChoicesJaEn"
"orange juice","200325","grape juice","Listening"
"apple juice","200325","grape juice","Listening"
"grapefruit","200325","grape juice","Listening"
"candle","200326","kangaroo","Listening"
"open","200327","only","Listening"
"open","200328","hold","ChoicesJaEn"
"misunderstand","200331","understand","Antonym"
"soda","200333","sofa","Listening"
"softer","200333","sofa","Listening"
"couch","200333","sofa","Synonym"
"bug","200334","mug","Listening"
"salmon","200337","tuna","ChoicesJaEn"
"shrimp","200337","tuna","ChoicesJaEn"
"crab","200337","tuna","ChoicesJaEn"
"octopus","200337","tuna","ChoicesJaEn"
"billion","200339","building","Listening"
"boiling","200339","building","Listening"
"builder","200339","building","Listening"
"holding","200339","building","Listening"
"campus","200340","captain","Listening"
"cabin","200340","captain","Listening"
"stay home","200341","go out","Antonym"
"liter","200343","meter","ChoicesJaEn"
"music lesson","200344","art lesson","ChoicesJaEn"
"English lesson","200344","art lesson","ChoicesJaEn"
"science lesson","200344","art lesson","ChoicesJaEn"
"P.E. lesson","200344","art lesson","ChoicesJaEn"
"our lesson","200344","art lesson","Listening"
"math lesson","200344","art lesson","Listening"
"art season","200344","art lesson","Listening"
"art teacher","200344","art lesson","Listening"
"open","200345","drop","ChoicesJaEn"
"smack","200347","snack","Listening"
"starlight","200348","moonlight","ChoicesJaEn"
"goodnight","200348","moonlight","Listening"
"sock","200352","sauce","Listening"
"contact","200353","concert","Listening"
"guide","200354","stay","ChoicesJaEn"
"state","200354","stay","Listening"
"study abroad","200355","homestay","ChoicesJaEn"
"google","200357","noodle","Listening"
"lime","200360","line","Listening"
"reading","200361","hiking","ChoicesJaEn"
"cooking","200361","hiking","ChoicesJaEn"
"liking","200361","hiking","Listening"
"biking","200361","hiking","Listening"
"hiding","200361","hiking","Listening"
"find ~","200362","take care of ~","ChoicesJaEn"
"call ~","200362","take care of ~","ChoicesJaEn"
"lift ~","200362","take care of ~","ChoicesJaEn"
"take ~","200362","take care of ~","ChoicesJaEn"
"care about ~","200362","take care of ~","Listening"
"promise","200363","care","ChoicesJaEn"
"vine","200364","view","Listening"
"chest","200365","check","Listening"
"eater","200368","heater","Listening"
"open","200369","send","ChoicesJaEn"
"said","200369","send","Listening"
"sent","200369","send","Listening"
"divide","200371","decide","Listening"
"open","200372","copy","ChoicesJaEn"
"frog","200375","fruit","Listening"
"teachers","200376","people","ChoicesJaEn"
"friends","200376","people","ChoicesJaEn"
"life","200378","wife","Listening"
"wine","200378","wife","Listening"
"sock","200382","pork","Listening"
"teamwork","200384","teammate","Listening"
"teacup","200384","teammate","Listening"
"sender","200388","center","Listening"
"enter","200388","center","Listening"
"small phone","200389","smartphone","Listening"
"speakerphone","200389","smartphone","Listening"
"headphone","200389","smartphone","Listening"
"microphone","200389","smartphone","Listening"
"cellphone","200389","smartphone","Synonym"
"euro","200392","dollar","ChoicesJaEn"
"pound","200392","dollar","ChoicesJaEn"
"smaller","200393","older","ChoicesJaEn"
"faster","200393","older","ChoicesJaEn"
"order","200393","older","Listening"
"automobile","200395","car","Synonym"
"noon","200398","morning","ChoicesJaEn"
"moving","200398","morning","Listening"
"mowing","200398","morning","Listening"
"moaning","200398","morning","Listening"
"parrot","200399","parent","Listening"
"peanut","200399","parent","Listening"
"get around ~","200400","go around ~","Listening"
"go along ~","200400","go around ~","Listening"
"walk around","200400","go around ~","Listening"
"turn away","200401","turn around","Listening"
"walk around","200401","turn around","Listening"
"state","200402","skate","Listening"
"nice skating","200405","ice skating","Listening"
"ice reading","200405","ice skating","Listening"
"bike skating","200405","ice skating","Listening"
"ice skater","200405","ice skating","Listening"
"fill","200406","film","Listening"
"inside","200407","forward","ChoicesJaEn"
"forgive","200407","forward","Listening"
"sandy","200408","CD","Listening"
"flag","200411","flute","Listening"
"gloves","200412","scarf","ChoicesJaEn"
"petty","200414","pretty","Listening"
"help ~","200415","be kind to ~","ChoicesJaEn"
"visit ~","200415","be kind to ~","ChoicesJaEn"
"call ~","200415","be kind to ~","ChoicesJaEn"
"be nice to ~","200415","be kind to ~","Listening"
"be close to ~","200415","be kind to ~","Listening"
"be nice to ~","200415","be kind to ~","Synonym"
"be mean to ~","200415","be kind to ~","Antonym"
"yesterday morning","200416","last night","ChoicesJaEn"
"tomorrow night","200416","last night","ChoicesJaEn"
"every night","200416","last night","ChoicesJaEn"
"last light","200416","last night","Listening"
"late night","200416","last night","Listening"
"this night","200416","last night","Listening"
"fast night","200416","last night","Listening"
"yesterday evening","200416","last night","Synonym"
"like ~","200419","be bad at ~","ChoicesJaEn"
"study ~","200419","be bad at ~","ChoicesJaEn"
"teach ~","200419","be bad at ~","ChoicesJaEn"
"be glad about ~","200419","be bad at ~","Listening"
"be mad at ~","200419","be bad at ~","Listening"
"be sad about ~","200419","be bad at ~","Listening"
"not be good at ~","200419","be bad at ~","Synonym"
"leave ~","200420","be absent from ~","ChoicesJaEn"
"join ~","200420","be absent from ~","ChoicesJaEn"
"be away from ~","200420","be absent from ~","Listening"
"be active in ~","200420","be absent from ~","Listening"
"attend","200420","be absent from ~","Antonym"
"fill","200422","ill","Listening"
"be on time for ~","200423","be late for ~","ChoicesJaEn"
"miss ~","200423","be late for ~","ChoicesJaEn"
"start ~","200423","be late for ~","ChoicesJaEn"
"be sorry for ~","200423","be late for ~","Listening"
"be good for ~","200423","be late for ~","Listening"
"be on time for ~","200423","be late for ~","Antonym"
"inside","200424","outside","ChoicesJaEn"
"inside","200424","outside","Listening"
"inside","200424","outside","Antonym"
"near ~","200425","far from ~","ChoicesJaEn"
"behind ~","200425","far from ~","ChoicesJaEn"
"near ~","200425","far from ~","Listening"
"behind ~","200425","far from ~","Listening"
"loop","200426","lose","Listening"
"eighty","200427","eighteen","Listening"
"ninety","200428","nineteen","Listening"
"seventy","200429","seventeen","Listening"
"sixty","200430","sixteen","Listening"
"him","200432","me","ChoicesJaEn"
"her","200432","me","ChoicesJaEn"
"we","200432","me","Listening"
"bee","200432","me","Listening"
"them","200433","us","ChoicesJaEn"
"him","200433","us","ChoicesJaEn"
"her","200433","us","ChoicesJaEn"
"as","200433","us","Listening"
"Shall I close the door?","200434","Shall I open the window?","ChoicesJaEn"
"Shall I help you?","200434","Shall I open the window?","ChoicesJaEn"
"Shall I sit here?","200434","Shall I open the window?","ChoicesJaEn"
"Shall I answer the phone?","200434","Shall I open the window?","ChoicesJaEn"
"Shall I close the window?","200434","Shall I open the window?","Listening"
"Can I open the window?","200434","Shall I open the window?","Listening"
"Shall we open the window?","200434","Shall I open the window?","Listening"
"Shall I open the door?","200434","Shall I open the window?","Listening"
"May I have your name?","200435","May I take a message?","ChoicesJaEn"
"Please hold on.","200435","May I take a message?","ChoicesJaEn"
"Please say that again.","200435","May I take a message?","ChoicesJaEn"
"Please call back later.","200435","May I take a message?","ChoicesJaEn"
"May I leave a message?","200435","May I take a message?","Listening"
"Can I take a message?","200435","May I take a message?","Listening"
"May I make a message?","200435","May I take a message?","Listening"
"May I take this message?","200435","May I take a message?","Listening"
"on weekdays","200437","on weekends","ChoicesJaEn"
"at night","200437","on weekends","ChoicesJaEn"
"on weekdays","200437","on weekends","Listening"
"on Wednesday","200437","on weekends","Listening"
"on holiday","200437","on weekends","Listening"
"on Saturday","200438","on Sunday","ChoicesJaEn"
"on Monday","200438","on Sunday","ChoicesJaEn"
"on Monday","200438","on Sunday","Listening"
"on Saturday","200438","on Sunday","Listening"
"on someday","200438","on Sunday","Listening"
"on sunny days","200438","on Sunday","Listening"
"on Monday","200439","on Thursday","ChoicesJaEn"
"on Tuesday","200439","on Thursday","ChoicesJaEn"
"on Wednesday","200439","on Thursday","ChoicesJaEn"
"on Friday","200439","on Thursday","ChoicesJaEn"
"on Tuesday","200439","on Thursday","Listening"
"on Saturday","200439","on Thursday","Listening"
"on Monday","200439","on Thursday","Listening"
"a bottle of ~","200440","a cup of ~","ChoicesJaEn"
"a piece of ~","200440","a cup of ~","ChoicesJaEn"
"a box of ~","200440","a cup of ~","ChoicesJaEn"
"a can of ~","200440","a cup of ~","ChoicesJaEn"
"a cap for ~","200440","a cup of ~","Listening"
"a kind of ~","200440","a cup of ~","Listening"
"a can of ~","200440","a cup of ~","Listening"
"a bag of ~","200440","a cup of ~","Listening"
"porter","200442","quarter","Listening"
"order","200442","quarter","Listening"
"a bottle of ~","200443","a glass of ~","ChoicesJaEn"
"a plate of ~","200443","a glass of ~","ChoicesJaEn"
"a piece of ~","200443","a glass of ~","ChoicesJaEn"
"a box of ~","200443","a glass of ~","ChoicesJaEn"
"a class of ~","200443","a glass of ~","Listening"
"a bag of ~","200443","a glass of ~","Listening"
"a can of ~","200443","a glass of ~","Listening"
"across","200444","again","Listening"
"once more","200444","again","Synonym"
"paid","200445","page","Listening"
"twice a week","200446","once a week","ChoicesJaEn"
"every month","200446","once a week","ChoicesJaEn"
"once a day","200446","once a week","Listening"
"twice a week","200446","once a week","Listening"
"once a month","200446","once a week","Listening"
"one week","200446","once a week","Listening"
"boots","200447","sandals","ChoicesJaEn"
"sandal","200447","sandals","Listening"
"singers","200447","sandals","Listening"
"samples","200447","sandals","Listening"
"eighty","200448","eighth","Listening"
"ate","200448","eighth","Listening"
"thirteenth","200449","eleventh","ChoicesJaEn"
"relevant","200449","eleventh","Listening"
"forty","200451","fourth","Listening"
"seventy","200453","seventh","Listening"
"seaside","200453","seventh","Listening"
"text","200455","tenth","Listening"
"thirteenth","200457","twelfth","ChoicesJaEn"
"less","200458","else","Listening"
"cooking","200459","camping","ChoicesJaEn"
"studying","200459","camping","ChoicesJaEn"
"coming","200459","camping","Listening"
"campus","200459","camping","Listening"
"mile","200462","microwave","Listening"
"myself","200462","microwave","Listening"
"shoemaker","200463","shopkeeper","Listening"
"bookkeeper","200463","shopkeeper","Listening"
"store owner","200463","shopkeeper","Synonym"
"too late","200464","toothache","Listening"
"sticker","200465","stapler","Listening"
"sheet","200466","piece","ChoicesJaEn"
"peas","200466","piece","Listening"
"Good morning.","200467","See you tomorrow.","ChoicesJaEn"
"Good evening.","200467","See you tomorrow.","ChoicesJaEn"
"Thank you.","200467","See you tomorrow.","ChoicesJaEn"
"See you tonight.","200467","See you tomorrow.","Listening"
"See you Monday.","200467","See you tomorrow.","Listening"
"See you again.","200467","See you tomorrow.","Listening"
"Good night.","200468","See you later.","ChoicesJaEn"
"Hello.","200468","See you later.","ChoicesJaEn"
"Excuse me.","200468","See you later.","ChoicesJaEn"
"See you again.","200468","See you later.","Listening"
"See you Monday.","200468","See you later.","Listening"
"eyes","200469","teeth","ChoicesJaEn"
"ears","200469","teeth","ChoicesJaEn"
"arm","200470","hand","ChoicesJaEn"
"hen","200470","hand","Listening"
"anger","200471","answer","Listening"
"after","200471","answer","Listening"
"mask","200472","ask","Listening"
"brick","200473","bring","Listening"
"blink","200473","bring","Listening"
"open","200475","choose","ChoicesJaEn"
"set up","200479","get up","Listening"
"get on","200479","get up","Listening"
"open","200480","get","ChoicesJaEn"
"open","200481","give","ChoicesJaEn"
"held","200482","help","Listening"
"written","200484","listen","Listening"
"met","200485","meet","Listening"
"open","200491","show","ChoicesJaEn"
"shoe","200491","show","Listening"
"slim","200493","swim","Listening"
"open","200494","tell","ChoicesJaEn"
"went","200495","want","Listening"
"halfway","200498","hallway","Listening"
"highway","200498","hallway","Listening"
"planer","200499","player","Listening"
"stupid","200500","student","Listening"
"steward","200500","student","Listening"
"pupil","200500","student","Synonym"
"teachers","200501","teacher","Listening"
"teacup","200501","teacher","Listening"
"reacher","200501","teacher","Listening"
"fried","200502","friend","Listening"
"pal","200502","friend","Synonym"
"marker","200504","farmer","Listening"
"van","200505","fan","Listening"
"pan","200505","fan","Listening"
"Ken","200506","Tracy","ChoicesJaEn"
"Emi","200506","Tracy","ChoicesJaEn"
"Mike","200506","Tracy","ChoicesJaEn"
"Nancy","200506","Tracy","ChoicesJaEn"
"Stacy","200506","Tracy","Listening"
"trading","200506","Tracy","Listening"
"tasty","200506","Tracy","Listening"
"tallest","200507","tourist","Listening"
"painter","200508","salesclerk","ChoicesJaEn"
"schoolgirl","200508","salesclerk","Listening"
"painter","200509","dancer","ChoicesJaEn"
"painter","200510","musician","ChoicesJaEn"
"magician","200510","musician","Listening"
"violinist","200511","pianist","Listening"
"viewer","200513","winner","ChoicesJaEn"
"loser","200513","winner","Antonym"
"walker","200514","worker","Listening"
"order","200515","officer","Listening"
"name of ~","200516","picture of ~","ChoicesJaEn"
"color of ~","200516","picture of ~","ChoicesJaEn"
"shape of ~","200516","picture of ~","ChoicesJaEn"
"sound of ~","200516","picture of ~","ChoicesJaEn"
"teacher of ~","200516","picture of ~","Listening"
"kitchen of ~","200516","picture of ~","Listening"
"future of ~","200516","picture of ~","Listening"
"visitor of ~","200516","picture of ~","Listening"
"photo of ~","200516","picture of ~","Synonym"
"him","200519","ham","Listening"
"art music","200520","art museum","Listening"
"art room","200520","art museum","Listening"
"art student","200520","art museum","Listening"
"shell","200521","shelf","Listening"
"hammer","200525","harbor","Listening"
"marker","200525","harbor","Listening"
"Tokyo","200527","Kyoto","ChoicesJaEn"
"Nara","200527","Kyoto","ChoicesJaEn"
"Kobe","200527","Kyoto","ChoicesJaEn"
"Tokyo","200527","Kyoto","Listening"
"Tokyo","200528","Osaka","ChoicesJaEn"
"Nagoya","200528","Osaka","ChoicesJaEn"
"Kobe","200528","Osaka","ChoicesJaEn"
