"no	grade	word	japanese	description	sentence	japanese_sentence	pos	difficulty	frequency	""[""""年"""",""""月"""",""""週"""",""""日"""",""""時間""""]""	""[""""year"""",""""month"""",""""week"""",""""day"""",""""hour""""]""	""[""""year"""",""""ear"""",""""near"""",""""dear"""",""""yard""""]""	[]	[]"
200195	2	in front of	～の前に	before something or someone	The car is in front of the house.	その車は家の前にあります。	preposition	2	3	""[""""～の前に"""",""""～の後ろに"""",""""～の中に"""",""""～の下に"""",""""～の近くに""""]""	""[""""in front of"""",""""behind"""",""""in"""",""""under"""",""""near""""]""	""[""""in front of"""",""""in back of"""",""""in place of"""",""""in spite of"""",""""in charge of""""]""	""[{""""word"""":""""before"""",""""note"""":""""位置ではなく順序や時間でも使う""""}]""	""[{""""word"""":""""behind"""",""""note"""":""""～の後ろに""""}]"""
200196	2	host family	ホストファミリー	a family you stay with in another country	I stayed with a host family in Canada.	私はカナダでホストファミリーの家に滞在しました。	noun	3	2	""[""""ホストファミリー"""",""""家族"""",""""親せき"""",""""先生"""",""""友だち""""]""	""[""""host family"""",""""family"""",""""relative"""",""""teacher"""",""""friend""""]""	""[""""host family"""",""""most family"""",""""hot family"""",""""home family"""",""""guest family""""]""	[]	[]"
200197	2	burger	バーガー	a sandwich with meat or other food inside	I ate a burger for lunch.	私は昼食にバーガーを食べました。	noun	2	3	""[""""バーガー"""",""""ピザ"""",""""サンドイッチ"""",""""サラダ"""",""""スープ""""]""	""[""""burger"""",""""pizza"""",""""sandwich"""",""""salad"""",""""soup""""]""	""[""""burger"""",""""bigger"""",""""baker"""",""""border"""",""""burner""""]""	""[{""""word"""":""""hamburger"""",""""note"""":""""より完全な言い方""""}]""	[]"
200198	2	quick	速い	fast in moving or doing something	She gave me a quick answer.	彼女は私にすばやい答えをくれました。	adjective	2	3	""[""""速い"""",""""遅い"""",""""高い"""",""""強い"""",""""重い""""]""	""[""""quick"""",""""slow"""",""""high"""",""""strong"""",""""heavy""""]""	""[""""quick"""",""""quiet"""",""""queen"""",""""kick"""",""""click""""]""	""[{""""word"""":""""fast"""",""""note"""":""""より一般的な語""""}]""	""[{""""word"""":""""slow"""",""""note"""":""""速くない""""}]"""
200199	2	worry	心配する	to think that something bad may happen	Don't worry about the test.	そのテストを心配しないで。	verb	2	3	""[""""心配する"""",""""待つ"""",""""忘れる"""",""""信じる"""",""""助ける""""]""	""[""""worry"""",""""wait"""",""""forget"""",""""believe"""",""""help""""]""	""[""""worry"""",""""sorry"""",""""hurry"""",""""word"""",""""warm""""]""	[]	""[{""""word"""":""""relax"""",""""note"""":""""気にしないで落ち着く""""}]"""
200200	2	worry about ...	…を心配する	to feel nervous or afraid about something	Don't worry about the test.	そのテストを心配しないで。	verb	2	3	""[""""…を心配する"""",""""…を楽しむ"""",""""…を始める"""",""""…を選ぶ"""",""""…を訪ねる""""]""	""[""""worry about ..."""",""""enjoy ..."""",""""start ..."""",""""choose ..."""",""""visit ...""""]""	""[""""worry about ..."""",""""hurry about ..."""",""""sorry about ..."""",""""carry a bag"""",""""walk around""""]""	""[{""""word"""":""""be anxious about ..."""",""""note"""":""""ややかたい言い方""""}]""	""[{""""word"""":""""feel calm about ..."""",""""note"""":""""心配しない""""}]"""
200201	2	miss	逃す	to fail to catch, see, or hear something	I missed the bus this morning.	私は今朝バスに乗り遅れました。	verb	2	3	""[""""逃す"""",""""見つける"""",""""受け取る"""",""""運ぶ"""",""""選ぶ""""]""	""[""""miss"""",""""find"""",""""carry"""",""""choose"""",""""receive""""]""	""[""""miss"""",""""mess"""",""""milk"""",""""mask"""",""""map""""]""	[]	[]"
200202	2	touch	触れる	to put your hand on something	Do not touch the glass.	そのガラスに触れないでください。	verb	2	3	""[""""触れる"""",""""押す"""",""""引く"""",""""持ち上げる"""",""""投げる""""]""	""[""""touch"""",""""push"""",""""pull"""",""""lift"""",""""throw""""]""	""[""""touch"""",""""teach"""",""""tough"""",""""much"""",""""lunch""""]""	[]	[]"
200203	2	sleepy	眠い	feeling that you want to sleep	I feel sleepy after lunch.	私は昼食のあと眠いです。	adjective	2	3	""[""""眠い"""",""""元気な"""",""""忙しい"""",""""静かな"""",""""空腹の""""]""	""[""""sleepy"""",""""busy"""",""""quiet"""",""""hungry"""",""""cheerful""""]""	""[""""sleepy"""",""""slippery"""",""""sleep"""",""""sneaky"""",""""sweepy""""]""	""[{""""word"""":""""tired"""",""""note"""":""""tired は「疲れた」、sleepy は「眠い」""""}]""	""[{""""word"""":""""awake"""",""""note"""":""""眠っていない状態""""}]"""
200204	2	waitress	ウェイトレス	a woman who serves food in a restaurant	The waitress brought us water.	そのウェイトレスは私たちに水を持ってきました。	noun	2	2	""[""""ウェイトレス"""",""""看護師"""",""""店員"""",""""料理人"""",""""運転手""""]""	""[""""waitress"""",""""nurse"""",""""clerk"""",""""cook"""",""""driver""""]""	""[""""waitress"""",""""wet"""",""""winter"""",""""window"""",""""writer""""]""	""[{""""word"""":""""server"""",""""note"""":""""gender-neutral word""""}]""	[]"
200205	2	half	半分	one of two equal parts	I ate half of the cake.	私はそのケーキの半分を食べました。	noun	2	3	""[""""半分"""",""""全部"""",""""一部"""",""""一組"""",""""一番""""]""	""[""""half"""",""""all"""",""""part"""",""""pair"""",""""first""""]""	""[""""half"""",""""hand"""",""""heart"""",""""hat"""",""""hot""""]""	[]	""[{""""word"""":""""whole"""",""""note"""":""""全部で1つの形""""}]"""
200206	2	movie	映画	a story you watch on a screen	We watched a movie last night.	私たちは昨夜映画を見ました。	noun	2	4	""[""""映画"""",""""音楽"""",""""写真"""",""""試合"""",""""物語""""]""	""[""""movie"""",""""music"""",""""photo"""",""""game"""",""""story""""]""	""[""""movie"""",""""moving"""",""""music"""",""""money"""",""""morning""""]""	""[{""""word"""":""""film"""",""""note"""":""""movie とほぼ同じ意味""""}]""	[]"
200207	2	end	終わり	the last part of something	This is the end of the movie.	これがその映画の終わりです。	noun	2	3	""[""""終わり"""",""""始まり"""",""""途中"""",""""答え"""",""""名前""""]""	""[""""end"""",""""start"""",""""middle"""",""""answer"""",""""name""""]""	""[""""end"""",""""and"""",""""hand"""",""""send"""",""""tent""""]""	""[{""""word"""":""""finish"""",""""note"""":""""「終わり」の意味で使うことがある""""}]""	""[{""""word"""":""""beginning"""",""""note"""":""""始まり""""}]"""
200208	2	at last	ついに	finally; after a long time	He came home at last.	彼はついに家に帰ってきました。	adverb	3	2	""[""""ついに"""",""""すぐに"""",""""いつも"""",""""たぶん"""",""""もう""""]""	""[""""at last"""",""""soon"""",""""always"""",""""maybe"""",""""already""""]""	""[""""at last"""",""""at least"""",""""as fast"""",""""last"""",""""first""""]""	""[{""""word"""":""""finally"""",""""note"""":""""ほぼ同じ意味""""}]""	[]"
200209	2	shoot	撃つ	to fire a gun or kick a ball hard	The boy can shoot the ball well.	その少年はボールを上手にシュートできます。	verb	3	2	""[""""撃つ"""",""""投げる"""",""""取る"""",""""運ぶ"""",""""押す""""]""	""[""""shoot"""",""""throw"""",""""take"""",""""carry"""",""""push""""]""	""[""""shoot"""",""""short"""",""""sheet"""",""""shut"""",""""shop""""]""	[]	[]"
200210	2	fire station	消防署	a building where firefighters work	The fire station is near my school.	消防署は私の学校の近くにあります。	noun	2	3	""[""""消防署"""",""""警察署"""",""""郵便局"""",""""図書館"""",""""駅""""]""	""[""""fire station"""",""""police station"""",""""post office"""",""""library"""",""""station""""]""	""[""""fire station"""",""""train station"""",""""gas station"""",""""vacation"""",""""fashion""""]""	[]	[]"
200211	2	on the first day	初日に	at the beginning day of something	We met on the first day of school.	私たちは学校の初日に会いました。	phrase	3	2	""[""""初日に"""",""""最終日に"""",""""次の日に"""",""""毎日"""",""""朝に""""]""	""[""""on the first day"""",""""on the last day"""",""""the next day"""",""""every day"""",""""in the morning""""]""	""[""""on the first day"""",""""on the third day"""",""""on Thursday"""",""""on the birthday"""",""""on the school day""""]""	[]	[]"
200212	2	aquarium	水族館	a place where people can see fish and sea animals	We went to the aquarium on Sunday.	私たちは日曜日に水族館へ行きました。	noun	2	3	""[""""水族館"""",""""動物園"""",""""博物館"""",""""公園"""",""""図書館""""]""	""[""""aquarium"""",""""zoo"""",""""museum"""",""""park"""",""""library""""]""	""[""""aquarium"""",""""museum"""",""""stadium"""",""""accordion"""",""""area""""]""	[]	[]"
200213	2	taste	味	the flavor of food or drink	This soup has a nice taste.	このスープはよい味がします。	noun	2	3	""[""""味"""",""""におい"""",""""色"""",""""形"""",""""音""""]""	""[""""taste"""",""""smell"""",""""color"""",""""shape"""",""""sound""""]""	""[""""taste"""",""""test"""",""""table"""",""""take"""",""""toast""""]""	""[{""""word"""":""""flavor"""",""""note"""":""""foodの味でよく使う""""}]""	[]"
200214	2	tulip	チューリップ	a flower with a cup-shaped bloom	A red tulip is in the garden.	赤いチューリップが庭にあります。	noun	2	2	""[""""チューリップ"""",""""バラ"""",""""ユリ"""",""""ひまわり"""",""""すみれ""""]""	""[""""tulip"""",""""rose"""",""""lily"""",""""sunflower"""",""""violet""""]""	""[""""tulip"""",""""two lips"""",""""turtle"""",""""music"""",""""student""""]""	[]	[]"
200215	2	blossom	花	a flower on a tree or plant	The cherry trees have pink blossom in spring.	その桜の木は春にピンクの花をつけます。	noun	2	2	""[""""花"""",""""葉"""",""""実"""",""""種"""",""""枝""""]""	""[""""blossom"""",""""leaf"""",""""fruit"""",""""seed"""",""""branch""""]""	""[""""blossom"""",""""bottom"""",""""bosom"""",""""lesson"""",""""custom""""]""	""[{""""word"""":""""flower"""",""""note"""":""""より一般的な語""""}]""	[]"
200216	2	next	次の	coming after this one	The next bus is at ten.	次のバスは10時です。	adjective	1	4	""[""""次の"""",""""前の"""",""""最後の"""",""""新しい"""",""""古い""""]""	""[""""next"""",""""last"""",""""new"""",""""old"""",""""first""""]""	""[""""next"""",""""nest"""",""""net"""",""""neck"""",""""need""""]""	""[{""""word"""":""""following"""",""""note"""":""""やや書き言葉的""""}]""	""[{""""word"""":""""last"""",""""note"""":""""前の、または最後の文脈で使う""""}]"""
200217	2	sandwich	サンドイッチ	bread with meat, cheese, or other food inside	I ate a sandwich for lunch.	私は昼食にサンドイッチを食べました。	noun	1	3	""[""""サンドイッチ"""",""""ハンバーガー"""",""""おにぎり"""",""""スープ"""",""""サラダ""""]""	""[""""sandwich"""",""""hamburger"""",""""salad"""",""""soup"""",""""pizza""""]""	""[""""sandwich"""",""""language"""",""""bandage"""",""""singer"""",""""candle""""]""	[]	[]"
200218	2	egg	卵	an oval food from a chicken or other bird	I eat an egg every morning.	私は毎朝卵を1つ食べます。	noun	1	5	""[""""卵"""",""""牛乳"""",""""パン"""",""""ごはん"""",""""肉""""]""	""[""""egg"""",""""milk"""",""""bread"""",""""rice"""",""""meat""""]""	""[""""egg"""",""""leg"""",""""bed"""",""""end"""",""""bag""""]""	[]	[]"
200219	2	pasta	パスタ	food made from flour, like spaghetti	We had pasta for dinner.	私たちは夕食にパスタを食べました。	noun	2	3	""[""""パスタ"""",""""スープ"""",""""サラダ"""",""""パン"""",""""ごはん""""]""	""[""""pasta"""",""""soup"""",""""salad"""",""""bread"""",""""rice""""]""	""[""""pasta"""",""""faster"""",""""past"""",""""master"""",""""basket""""]""	[]	[]"
200220	2	stew	シチュー	a dish of meat or vegetables cooked slowly	My mother made beef stew.	母はビーフシチューを作りました。	noun	3	2	""[""""シチュー"""",""""カレー"""",""""スープ"""",""""サラダ"""",""""サンドイッチ""""]""	""[""""stew"""",""""curry"""",""""soup"""",""""salad"""",""""sandwich""""]""	""[""""stew"""",""""student"""",""""stone"""",""""star"""",""""store""""]""	[]	[]"
200221	2	police	警察	the people who keep a town safe	The police came quickly.	警察はすぐに来ました。	noun	2	4	""[""""警察"""",""""消防士"""",""""医者"""",""""先生"""",""""運転手""""]""	""[""""police"""",""""firefighter"""",""""doctor"""",""""teacher"""",""""driver""""]""	""[""""police"""",""""please"""",""""place"""",""""piece"""",""""pilot""""]""	[]	[]"
200222	2	become friends	友だちになる	to start being friends with someone	We became friends at school.	私たちは学校で友だちになりました。	verb	2	3	""[""""友だちになる"""",""""けんかする"""",""""あいさつする"""",""""手伝う"""",""""電話する""""]""	""[""""become friends"""",""""fight"""",""""greet"""",""""help"""",""""call""""]""	""[""""become friends"""",""""become free"""",""""come friends"""",""""become fresh"""",""""become first""""]""	[]	[]"
200223	2	front	前	the part that is before or ahead	Please stand in front of the door.	ドアの前に立ってください。	noun	2	4	""[""""前"""",""""後ろ"""",""""中"""",""""横"""",""""下""""]""	""[""""front"""",""""back"""",""""inside"""",""""side"""",""""under""""]""	""[""""front"""",""""frog"""",""""from"""",""""floor"""",""""fruit""""]""	[]	""[{""""word"""":""""back"""",""""note"""":""""反対の位置""""}]"""
200224	2	hello	こんにちは	a word used when you meet or call someone	I said hello to my teacher.	私は先生にこんにちはと言いました。	interjection	1	5	""[""""こんにちは"""",""""さようなら"""",""""ありがとう"""",""""ごめんなさい"""",""""おはよう""""]""	""[""""hello"""",""""goodbye"""",""""thanks"""",""""sorry"""",""""morning""""]""	""[""""hello"""",""""yellow"""",""""hollow"""",""""hero"""",""""below""""]""	""[{""""word"""":""""hi"""",""""note"""":""""よりくだけた言い方""""}]""	[]"
200225	2	out of	〜から外へ	from inside to outside	She ran out of the room.	彼女は部屋から外へ走って出ました。	preposition	2	4	""[""""〜から外へ"""",""""〜の中に"""",""""〜の上に"""",""""〜の下に"""",""""〜の近くに""""]""	""[""""out of"""",""""in"""",""""on"""",""""under"""",""""near""""]""	""[""""out of"""",""""outside"""",""""about"""",""""off"""",""""over""""]""	[]	[]"
200226	2	all day	一日中	from morning to night	I studied English all day.	私は一日中英語を勉強しました。	adverb	2	3	""[""""一日中"""",""""一週間中"""",""""毎朝"""",""""今夜"""",""""すぐに""""]""	""[""""all day"""",""""all week"""",""""every morning"""",""""tonight"""",""""soon""""]""	""[""""all day"""",""""always"""",""""already"""",""""holiday"""",""""today""""]""	[]	[]"
200227	2	American	アメリカ人	a person from America	My teacher is American.	私の先生はアメリカ人です。	noun	2	3	""[""""アメリカ人"""",""""日本人"""",""""中国人"""",""""カナダ人"""",""""イギリス人""""]""	""[""""American"""",""""Japanese"""",""""Chinese"""",""""Canadian"""",""""British""""]""	""[""""American"""",""""African"""",""""Mexican"""",""""Canadian"""",""""Italian""""]""	[]	[]"
200228	2	ice	氷	frozen water	There is ice in my drink.	私の飲み物に氷が入っています。	noun	1	4	""[""""氷"""",""""水"""",""""雪"""",""""雨"""",""""湯""""]""	""[""""ice"""",""""water"""",""""snow"""",""""rain"""",""""juice""""]""	""[""""ice"""",""""eyes"""",""""rice"""",""""nice"""",""""idea""""]""	[]	[]"
200229	2	cherry	さくらんぼ	a small red fruit	I ate a cherry after lunch.	私は昼食のあとにさくらんぼを食べました。	noun	2	2	""[""""さくらんぼ"""",""""ぶどう"""",""""もも"""",""""いちご"""",""""りんご""""]""	""[""""cherry"""",""""grape"""",""""peach"""",""""strawberry"""",""""apple""""]""	""[""""cherry"""",""""cheery"""",""""Jerry"""",""""carry"""",""""very""""]""	[]	[]"
200230	2	grape	ぶどう	a small sweet fruit	These grapes are very sweet.	このぶどうはとても甘いです。	noun	2	2	""[""""ぶどう"""",""""もも"""",""""なし"""",""""りんご"""",""""みかん""""]""	""[""""grape"""",""""peach"""",""""pear"""",""""apple"""",""""orange""""]""	""[""""grape"""",""""great"""",""""grass"""",""""globe"""",""""grade""""]""	[]	[]"
200231	2	orange	オレンジ	a round fruit with orange skin	I eat an orange after lunch.	私は昼食のあとにオレンジを食べます。	noun	1	4	""[""""オレンジ"""",""""りんご"""",""""ぶどう"""",""""もも"""",""""バナナ""""]""	""[""""orange"""",""""apple"""",""""grape"""",""""peach"""",""""banana""""]""	""[""""orange"""",""""arrange"""",""""orchid"""",""""bridge"""",""""village""""]""	[]	[]"
200232	2	peach	もも	a soft sweet fruit with a large seed	This peach is very sweet.	このももはとても甘いです。	noun	1	3	""[""""もも"""",""""りんご"""",""""オレンジ"""",""""ぶどう"""",""""レモン""""]""	""[""""peach"""",""""apple"""",""""orange"""",""""grape"""",""""lemon""""]""	""[""""peach"""",""""beach"""",""""teach"""",""""pitch"""",""""piece""""]""	[]	[]"
200233	2	jam	ジャム	a sweet food made from fruit and sugar	I put jam on my bread.	私はパンにジャムをぬります。	noun	1	3	""[""""ジャム"""",""""バター"""",""""はちみつ"""",""""チーズ"""",""""スープ""""]""	""[""""jam"""",""""butter"""",""""honey"""",""""cheese"""",""""soup""""]""	""[""""jam"""",""""ham"""",""""cap"""",""""man"""",""""map""""]""	[]	[]"
200234	2	strawberry	いちご	a small sweet red fruit	I like strawberry cake.	私はいちごのケーキが好きです。	noun	2	3	""[""""いちご"""",""""りんご"""",""""ぶどう"""",""""もも"""",""""みかん""""]""	""[""""strawberry"""",""""apple"""",""""grape"""",""""peach"""",""""orange""""]""	""[""""strawberry"""",""""blueberry"""",""""library"""",""""story"""",""""street""""]""	[]	[]"
200235	2	interesting	おもしろい	making you want to know more	This book is interesting.	この本はおもしろいです。	adjective	3	4	""[""""おもしろい"""",""""やさしい"""",""""むずかしい"""",""""たいくつな"""",""""うれしい""""]""	""[""""interesting"""",""""easy"""",""""difficult"""",""""boring"""",""""happy""""]""	""[""""interesting"""",""""interested"""",""""important"""",""""exciting"""",""""different""""]""	""[{""""word"""":""""fun"""",""""note"""":""""くだけた言い方""""},{""""word"""":""""exciting"""",""""note"""":""""もっとわくわくする感じ""""}]""	""[{""""word"""":""""boring"""",""""note"""":""""退屈な""""}]"""
200236	2	shall	〜しましょうか	used to make a suggestion	Shall we play tennis?	テニスをしましょうか。	verb	3	3	""[""""〜しましょうか"""",""""〜できます"""",""""〜しなければならない"""",""""〜するつもりだ"""",""""〜している""""]""	""[""""shall"""",""""can"""",""""must"""",""""will"""",""""am""""]""	""[""""shall"""",""""shell"""",""""shy"""",""""show"""",""""short""""]""	[]	[]"
200237	2	sport	スポーツ	a game or activity people play for fun	My favorite sport is soccer.	私の好きなスポーツはサッカーです。	noun	2	4	""[""""スポーツ"""",""""音楽"""",""""科目"""",""""食べ物"""",""""映画""""]""	""[""""sport"""",""""music"""",""""subject"""",""""food"""",""""movie""""]""	""[""""sport"""",""""short"""",""""spot"""",""""spoon"""",""""store""""]""	""[{""""word"""":""""game"""",""""note"""":""""広い意味で使える基本語""""}]""	[]"
200238	2	air	空気	the mixture of gases around us	Open the window and let in some air.	窓を開けて空気を入れてください。	noun	2	4	""[""""空気"""",""""水"""",""""光"""",""""土"""",""""火""""]""	""[""""air"""",""""water"""",""""light"""",""""soil"""",""""fire""""]""	""[""""air"""",""""ear"""",""""care"""",""""fair"""",""""arm""""]""	[]	[]"
200239	2	grow	育つ	to become bigger or older	These flowers grow fast in spring.	この花は春に早く育ちます。	verb	3	4	""[""""育つ"""",""""歩く"""",""""泳ぐ"""",""""作る"""",""""教える""""]""	""[""""grow"""",""""walk"""",""""swim"""",""""make"""",""""teach""""]""	""[""""grow"""",""""glow"""",""""crow"""",""""gray"""",""""green""""]""	[]	""[{""""word"""":""""shrink"""",""""note"""":""""小さくなる""""}]"""
200240	2	present	贈り物	something you give to someone	This present is for my sister.	この贈り物は私の姉（妹）のためのものです。	noun	2	3	""[""""贈り物"""",""""手紙"""",""""写真"""",""""宿題"""",""""時計""""]""	""[""""present"""",""""letter"""",""""picture"""",""""homework"""",""""clock""""]""	""[""""present"""",""""pleasant"""",""""parent"""",""""planet"""",""""peasant""""]""	""[{""""word"""":""""gift"""",""""note"""":""""present とほぼ同じ意味""""}]""	[]"
200241	2	tell about	～について話す	to give information about something	Please tell me about your school.	あなたの学校について私に話してください。	verb	2	2	""[""""～について話す"""",""""～を探す"""",""""～を選ぶ"""",""""～を訪れる"""",""""～を集める""""]""	""[""""tell about"""",""""look for"""",""""choose"""",""""visit"""",""""collect""""]""	""[""""tell about"""",""""talk about"""",""""think about"""",""""write about"""",""""learn about""""]""	""[{""""word"""":""""talk about"""",""""note"""":""""より会話的な表現""""}]""	[]"
200242	2	pay	払う	to give money for something	I will pay for the lunch.	私は昼食代を払います。	verb	2	4	""[""""払う"""",""""借りる"""",""""使う"""",""""売る"""",""""選ぶ""""]""	""[""""pay"""",""""borrow"""",""""use"""",""""sell"""",""""choose""""]""	""[""""pay"""",""""play"""",""""pen"""",""""pan"""",""""pair""""]""	[]	[]"
200243	2	lend	貸す	to let someone use something for a time	Can you lend me your pen?	あなたのペンを私に貸してくれますか。	verb	2	3	""[""""貸す"""",""""借りる"""",""""買う"""",""""使う"""",""""返す""""]""	""[""""lend"""",""""borrow"""",""""buy"""",""""use"""",""""return""""]""	""[""""lend"""",""""send"""",""""land"""",""""left"""",""""end""""]""	""[{""""word"""":""""loan"""",""""note"""":""""ややかたい語。動詞でも使う""""}]""	""[{""""word"""":""""borrow"""",""""note"""":""""lend は貸す、borrow は借りる""""}]"""
200244	2	Here you are.	はい、どうぞ	something you say when giving something to someone	Here you are.	はい、どうぞ。	expression	2	4	""[""""はい、どうぞ"""",""""ありがとう"""",""""すみません"""",""""さようなら"""",""""気をつけて""""]""	""[""""Here you are."""",""""Thank you."""",""""Excuse me."""",""""Goodbye."""",""""Take care.""""]""	""[""""Here you are."""",""""How are you?"""",""""There you are."""",""""Here we go."""",""""Where are you?""""]""	[]	[]"
200245	2	window	窓	an opening in a wall with glass	Please open the window.	窓を開けてください。	noun	1	4	""[""""窓"""",""""ドア"""",""""机"""",""""いす"""",""""壁""""]""	""[""""window"""",""""door"""",""""desk"""",""""chair"""",""""wall""""]""	""[""""window"""",""""widow"""",""""winter"""",""""yellow"""",""""windowpane""""]""	[]	[]"
200246	2	mirror	鏡	something you look into to see your face	I looked in the mirror.	私は鏡を見ました。	noun	2	3	""[""""鏡"""",""""窓"""",""""机"""",""""いす"""",""""かばん""""]""	""[""""mirror"""",""""window"""",""""desk"""",""""chair"""",""""bag""""]""	""[""""mirror"""",""""minute"""",""""melon"""",""""middle"""",""""miller""""]""	[]	[]"
200247	2	leave	去る	to go away from a place	We leave school at three.	私たちは3時に学校を出ます。	verb	3	4	""[""""去る"""",""""来る"""",""""座る"""",""""待つ"""",""""歩く""""]""	""[""""leave"""",""""come"""",""""sit"""",""""wait"""",""""walk""""]""	""[""""leave"""",""""live"""",""""lead"""",""""leap"""",""""lean""""]""	""[{""""word"""":""""go"""",""""note"""":""""より広い意味の基本語""""}]""	""[{""""word"""":""""arrive"""",""""note"""":""""着く、到着する""""}]"""
200248	2	return	戻る	to go back to a place	I will return home soon.	私はすぐ家に戻ります。	verb	3	3	""[""""戻る"""",""""進む"""",""""止まる"""",""""始める"""",""""開ける""""]""	""[""""return"""",""""move"""",""""stop"""",""""start"""",""""open""""]""	""[""""return"""",""""reply"""",""""reduce"""",""""report"""",""""remain""""]""	""[{""""word"""":""""go back"""",""""note"""":""""よりやさしい言い方""""}]""	""[{""""word"""":""""leave"""",""""note"""":""""その場を去る""""}]"""
200249	2	pass	通る	to go by or move past a place	We pass the park every day.	私たちは毎日その公園の前を通ります。	verb	2	3	""[""""通る"""",""""止まる"""",""""入る"""",""""開ける"""",""""待つ""""]""	""[""""pass"""",""""stop"""",""""enter"""",""""open"""",""""wait""""]""	""[""""pass"""",""""past"""",""""path"""",""""pack"""",""""pace""""]""	[]	[]"
200250	2	travel	旅行する	to go to places far from home	They travel by train in summer.	彼らは夏に電車で旅行します。	verb	2	3	""[""""旅行する"""",""""勉強する"""",""""料理する"""",""""練習する"""",""""買い物する""""]""	""[""""travel"""",""""study"""",""""cook"""",""""practice"""",""""shop""""]""	""[""""travel"""",""""trouble"""",""""table"""",""""tunnel"""",""""triple""""]""	""[{""""word"""":""""trip"""",""""note"""":""""noun; travel is usually a verb""""}]""	[]"
200251	2	walk to	～まで歩いて行く	to go to a place on foot	I walk to school every day.	私は毎日学校まで歩いて行きます。	verb	2	2	""[""""～まで歩いて行く"""",""""～まで走って行く"""",""""～まで車で行く"""",""""～まで飛んで行く"""",""""～まで泳いで行く""""]""	""[""""walk to"""",""""run to"""",""""drive to"""",""""fly to"""",""""swim to""""]""	""[""""walk to"""",""""work to"""",""""want to"""",""""talk to"""",""""walked""""]""	""[{""""word"""":""""go on foot"""",""""note"""":""""on foot を使った言い方""""}]""	[]"
200252	2	go to	行く	to move to a place	I go to school by bus.	私はバスで学校に行きます。	verb	1	5	""[""""行く"""",""""来る"""",""""帰る"""",""""歩く"""",""""走る""""]""	""[""""go to"""",""""come to"""",""""return to"""",""""walk to"""",""""run to""""]""	""[""""go to"""",""""got"""",""""go"""",""""good"""",""""coat""""]""	[]	[]"
200253	2	cross	横切る	to go from one side to the other	Please cross the street here.	ここで通りを横切ってください。	verb	3	4	""[""""横切る"""",""""止まる"""",""""曲がる"""",""""運ぶ"""",""""押す""""]""	""[""""cross"""",""""stop"""",""""turn"""",""""carry"""",""""push""""]""	""[""""cross"""",""""class"""",""""clock"""",""""crab"""",""""grass""""]""	[]	[]"
200254	2	climb	登る	to go up something	We climb the hill together.	私たちはいっしょにその丘に登ります。	verb	2	4	""[""""登る"""",""""走る"""",""""泳ぐ"""",""""投げる"""",""""押す""""]""	""[""""climb"""",""""run"""",""""swim"""",""""throw"""",""""push""""]""	""[""""climb"""",""""crime"""",""""class"""",""""cloud"""",""""clock""""]""	[]	""[{""""word"""":""""go down"""",""""note"""":""""反対の方向""""}]"""
200255	2	luck	運	good things that happen by chance	I had good luck today.	私は今日、運がよかった。	noun	2	3	""[""""運"""",""""機会"""",""""計画"""",""""約束"""",""""習慣""""]""	""[""""luck"""",""""chance"""",""""plan"""",""""promise"""",""""habit""""]""	""[""""luck"""",""""lock"""",""""lake"""",""""look"""",""""like""""]""	""[{""""word"""":""""fortune"""",""""note"""":""""ややかたい語""""}]""	""[{""""word"""":""""bad luck"""",""""note"""":""""運が悪いこと""""}]"""
200256	2	cereal	シリアル	a breakfast food made from grains	I eat cereal for breakfast.	私は朝食にシリアルを食べます。	noun	2	2	""[""""シリアル"""",""""トースト"""",""""スープ"""",""""サラダ"""",""""ヨーグルト""""]""	""[""""cereal"""",""""toast"""",""""soup"""",""""salad"""",""""yogurt""""]""	""[""""cereal"""",""""serial"""",""""syrup"""",""""salad"""",""""zero""""]""	[]	[]"
200257	2	grandparent	祖父母	the parent of your father or mother	My grandparent lives in Osaka.	私の祖父母は大阪に住んでいます。	noun	2	2	""[""""祖父母"""",""""両親"""",""""兄弟"""",""""おじ"""",""""いとこ""""]""	""[""""grandparent"""",""""parent"""",""""brother"""",""""uncle"""",""""cousin""""]""	""[""""grandparent"""",""""grandfather"""",""""grandmother"""",""""parent"""",""""ground""""]""	[]	[]"
200258	2	yard	庭	an area of land next to a house	The dog is playing in the yard.	その犬は庭で遊んでいます。	noun	2	3	""[""""庭"""",""""公園"""",""""畑"""",""""道"""",""""湖""""]""	""[""""yard"""",""""park"""",""""field"""",""""road"""",""""lake""""]""	""[""""yard"""",""""card"""",""""hard"""",""""guard"""",""""yarn""""]""	[]	[]"
200259	2	thank you for ...	〜をありがとう	used to show thanks for something	Thank you for your help.	手伝ってくれてありがとう。	phrase	2	5	""[""""〜をありがとう"""",""""〜がほしい"""",""""〜が好き"""",""""〜を知っている"""",""""〜へ行く""""]""	""[""""thank you for ..."""",""""want ..."""",""""like ..."""",""""know ..."""",""""go to ...""""]""	""[""""thank you for ..."""",""""thank you very much"""",""""thanks for ..."""",""""thankful"""",""""thinking""""]""	""[{""""word"""":""""thanks for ..."""",""""note"""":""""よりくだけた言い方""""}]""	[]"
