lookup_key	english	normalized_english	japanese	quiz_mode	source_word_id	note
lukewarm_COMMON_0	lukewarm	lukewarm	ぬるい			
lunar_COMMON_0	lunar	lunar	月の			
made_COMMON_0	made	made	作った			
magic_COMMON_0	magic	magic	魔法			
make ~_COMMON_0	make ~	make ~	～を作る			
make a call_COMMON_0	make a call	make a call	電話をかける			
make a promise_COMMON_0	make a promise	make a promise	約束をする			
make breakfast_COMMON_0	make breakfast	make breakfast	朝ごはんを作る			
may i have some water?_COMMON_0	May I have some water?	may i have some water?	お水をください			
may i have your name?_COMMON_0	May I have your name?	may i have your name?	お名前を伺ってもよいですか			
maybe._COMMON_0	Maybe.	maybe.	たぶんそうです			
meet ~_COMMON_0	meet ~	meet ~	～に会う			
memorize ~_COMMON_0	memorize ~	memorize ~	覚える			
middle finger_COMMON_0	middle finger	middle finger	中指			
mike_COMMON_0	Mike	mike	マイク			
mile_COMMON_0	mile	mile	マイル			
millimeter_COMMON_0	millimeter	millimeter	ミリメートル			
miss ~_COMMON_0	miss ~	miss ~	～を欠席する			
mix a with b_COMMON_0	mix A with B	mix a with b	AとBを混ぜる			
mom_COMMON_0	mom	mom	お母さん			
more ... than ~_COMMON_0	more ... than ~	more ... than ~	…よりもっと～			
motorcycle_COMMON_0	motorcycle	motorcycle	バイク			
move ~_COMMON_0	move ~	move ~	～を動かす			
mr._COMMON_0	Mr.	mr.	～氏、～さん（男性）			
music lesson_COMMON_0	music lesson	music lesson	音楽の授業			
must i ~?_COMMON_0	Must I ~?	must i ~?	〜しなければなりません			
must not_COMMON_0	must not	must not	〜してはいけない			
must not do_COMMON_0	must not do	must not do	～してはいけない			
must we ~?_COMMON_0	Must we ~?	must we ~?	〜しなければなりませんか			
myself_COMMON_0	myself	myself	私自身			
nagoya_COMMON_0	Nagoya	nagoya	名古屋			
name of ~_COMMON_0	name of ~	name of ~	～の名前			
nancy_COMMON_0	Nancy	nancy	ナンシー			
nara_COMMON_0	Nara	nara	奈良			
near ~_COMMON_0	near ~	near ~	〜の近くに			
near you_COMMON_0	near you	near you	近くに			
need ~_COMMON_0	need ~	need ~	～を必要としている			
need help_COMMON_0	need help	need help	手伝いが必要だ			
nephew_COMMON_0	nephew	nephew	おい			
net_COMMON_0	net	net	ネット			
new year's day_COMMON_0	New Year's Day	new year's day	お正月			
newest_COMMON_0	newest	newest	最も新しい			
next year_COMMON_0	next year	next year	来年			
nice to meet you._COMMON_0	Nice to meet you.	nice to meet you.	はじめまして			
nice weather!_COMMON_0	Nice weather!	nice weather!	よい天気ですね			
niece_COMMON_0	niece	niece	めい			
no ~_COMMON_0	no ~	no ~	まったくない～			
no one_COMMON_0	no one	no one	だれも〜ない			
no way._COMMON_0	No way.	no way.	だめです			
nobody_COMMON_0	nobody	nobody	だれも～ない			
none_COMMON_0	none	none	何もない			
noon_COMMON_0	noon	noon	正午			
not as ~ as ..._COMMON_0	not as ~ as ...	not as ~ as ...	…ほど～でない			
not at all_COMMON_0	not at all	not at all	まったく～ない			
octopus_COMMON_0	octopus	octopus	タコ			
of course._COMMON_0	Of course.	of course.	もちろんです			
on ~_COMMON_0	on ~	on ~	～の上に			
on friday_COMMON_0	on Friday	on friday	金曜日に			
on monday_COMMON_0	on Monday	on monday	月曜日に			
on saturday_COMMON_0	on Saturday	on saturday	土曜日に			
on the last day_COMMON_0	on the last day	on the last day	最終日に			
on the road_COMMON_0	on the road	on the road	道の上で			
on tuesday_COMMON_0	on Tuesday	on tuesday	火曜日に			
on wednesday_COMMON_0	on Wednesday	on wednesday	水曜日に			
on weekdays_COMMON_0	on weekdays	on weekdays	平日に			
once a day_COMMON_0	once a day	once a day	1日に1回			
once more._COMMON_0	Once more.	once more.	もう一度			
one item_COMMON_0	one item	one item	一個			
one of ~_COMMON_0	one of ~	one of ~	ひとつ			
onto_COMMON_0	onto	onto	〜の上に			
open_COMMON_0	open	open	開ける			
open ~_COMMON_0	open ~	open ~	～を開ける			
open a_COMMON_0	open A	open a	Aを開ける			
orange juice_COMMON_0	orange juice	orange juice	オレンジジュース			
order_COMMON_0	order	order	注文			
order a to do_COMMON_0	order A to do	order a to do	Aに～するよう命じる			
outside ~_COMMON_0	outside ~	outside ~	～の外に			
over ~_COMMON_0	over ~	over ~	～の上に			
p.e. lesson_COMMON_0	P.E. lesson	p.e. lesson	体育の授業			
p.m._COMMON_0	p.m.	p.m.	午後			
painter_COMMON_0	painter	painter	画家			
pan_COMMON_0	pan	pan	なべ			
paris_COMMON_0	Paris	paris	パリ			
pass ~_COMMON_0	pass ~	pass ~	～を通り過ぎる			
pass through ~_COMMON_0	pass through ~	pass through ~	～を通る			
past_COMMON_0	past	past	過去			
pear_COMMON_0	pear	pear	なし			
pencil case_COMMON_0	pencil case	pencil case	筆箱			
peninsula_COMMON_0	peninsula	peninsula	半島			
phone number_COMMON_0	phone number	phone number	電話番号			
pick a up at b_COMMON_0	pick A up at B	pick a up at b	AをBまで迎えに行く			
pick up_COMMON_0	pick up	pick up	拾う			
pigeon_COMMON_0	pigeon	pigeon	はと			
plan ~_COMMON_0	plan ~	plan ~	～を計画する			
play in the park_COMMON_0	play in the park	play in the park	公園で遊ぶ			
play outside_COMMON_0	play outside	play outside	外で遊んでいる			
play soccer_COMMON_0	play soccer	play soccer	サッカーをする			
play tennis_COMMON_0	play tennis	play tennis	テニスをする			
play with ~_COMMON_0	play with ~	play with ~	～を見る			
please call back later._COMMON_0	Please call back later.	please call back later.	後でかけ直してください			
please come here._COMMON_0	Please come here.	please come here.	ここに来てください			
please help me._COMMON_0	Please help me.	please help me.	手伝ってください			
please hold on._COMMON_0	Please hold on.	please hold on.	少々お待ちください			
please open the window._COMMON_0	Please open the window.	please open the window.	今すぐ始めなさい			
please read the book._COMMON_0	Please read the book.	please read the book.	本を読んでください			
please say it again._COMMON_0	Please say it again.	please say it again.	もう一度言ってください			
please say that again._COMMON_0	Please say that again.	please say that again.	もう一度言ってください			
please sit here._COMMON_0	Please sit here.	please sit here.	ここにすわってください			
please speak slowly._COMMON_0	Please speak slowly.	please speak slowly.	ゆっくり話してください			
please wait a minute._COMMON_0	Please wait a minute.	please wait a minute.	少し待ってください			
please write your name._COMMON_0	Please write your name.	please write your name.	名前を書いてください			
pony_COMMON_0	pony	pony	子馬			
pound_COMMON_0	pound	pound	ポンド			
practice ~_COMMON_0	practice ~	practice ~	～を練習する			
practice doing_COMMON_0	practice doing	practice doing	～する練習をする			
practice with a_COMMON_0	practice with A	practice with a	Aと練習する			
praise a_COMMON_0	praise A	praise a	Aをほめる			
prepare ~_COMMON_0	prepare ~	prepare ~	～を準備する			
price list_COMMON_0	price list	price list	値段表			
promise_COMMON_0	promise	promise	約束			
promise ~_COMMON_0	promise ~	promise ~	～を約束する			
protect_COMMON_0	protect	protect	守る			
protect ~_COMMON_0	protect ~	protect ~	～を守る			
pudding_COMMON_0	pudding	pudding	プリン			
pull ~_COMMON_0	pull ~	pull ~	～を引く			
push ~_COMMON_0	push ~	push ~	～を押す			
put down ~_COMMON_0	put down ~	put down ~	置く			
put on_COMMON_0	put on	put on	～の上に置く			
put on my clothes_COMMON_0	put on my clothes	put on my clothes	服を着る			
quilt_COMMON_0	quilt	quilt	ふとん			
quite new._COMMON_0	Quite new.	quite new.	かなり新しい			
rainy season_COMMON_0	rainy season	rainy season	梅雨			
reach_COMMON_0	reach	reach	届く			
read ~_COMMON_0	read ~	read ~	～を読む			
read a book_COMMON_0	read a book	read a book	本を読む			
read aloud_COMMON_0	read aloud	read aloud	読み上げる			
reader_COMMON_0	reader	reader	読者			
reading_COMMON_0	reading	reading	読書			
really?_COMMON_0	Really?	really?	本当ですか			
rectangle_COMMON_0	rectangle	rectangle	長方形			
referee_COMMON_0	referee	referee	審判			
refuse a_COMMON_0	refuse A	refuse a	Aを断る			
relatives_COMMON_0	relatives	relatives	親戚			
relaxed_COMMON_0	relaxed	relaxed	安心した			
remember ~_COMMON_0	remember ~	remember ~	～を覚えている			
repair ~_COMMON_0	repair ~	repair ~	～を修理する			
repair a_COMMON_0	repair A	repair a	Aを修理する			
return to ~_COMMON_0	return to ~	return to ~	～に戻る			
ring finger_COMMON_0	ring finger	ring finger	薬指			
room number_COMMON_0	room number	room number	部屋番号			
run fast_COMMON_0	run fast	run fast	早く走る			
run to ~_COMMON_0	run to ~	run to ~	～へ走る			
running_COMMON_0	running	running	ランニング			
runny nose_COMMON_0	runny nose	runny nose	鼻水			
sadness_COMMON_0	sadness	sadness	悲しみ			
salmon_COMMON_0	salmon	salmon	サケ			
salty_COMMON_0	salty	salty	しょっぱい			
saw_COMMON_0	saw	saw	見た			
say it again._COMMON_0	Say it again.	say it again.	もう一度言ってください			
schoolbag_COMMON_0	schoolbag	schoolbag	かばん			
science lesson_COMMON_0	science lesson	science lesson	理科の授業			
see ~_COMMON_0	see ~	see ~	〜を見る			
see there_COMMON_0	see there	see there	そこを見る			
see you again._COMMON_0	See you again.	see you again.	また会いましょう			
see you next week._COMMON_0	See you next week.	see you next week.	また来週			
see you!_COMMON_0	See you!	see you!	お元気で			
send ~_COMMON_0	send ~	send ~	～を送る			
send a b_COMMON_0	send A B	send a b	AにBを送る			
send a letter_COMMON_0	send a letter	send a letter	手紙を送る			
send a message_COMMON_0	send a message	send a message	メッセージを送る			
send a to b_COMMON_0	send A to B	send a to b	AをBに送る			
seoul_COMMON_0	Seoul	seoul	ソウル			
separate a from b_COMMON_0	separate A from B	separate a from b	AをBから離す			
seven o'clock_COMMON_0	seven o'clock	seven o'clock	7時			
seventy_COMMON_0	seventy	seventy	70			
shall i ~?_COMMON_0	Shall I ~?	shall i ~?	〜しましょうか			
shall i answer the phone?_COMMON_0	Shall I answer the phone?	shall i answer the phone?	電話に出ましょうか			
shall i close the door?_COMMON_0	Shall I close the door?	shall i close the door?	ドアを閉めましょうか			
shall i help you?_COMMON_0	Shall I help you?	shall i help you?	手伝いましょうか			
shall i sit here?_COMMON_0	Shall I sit here?	shall i sit here?	座りましょうか			
shallowly_COMMON_0	shallowly	shallowly	浅く			
shape of ~_COMMON_0	shape of ~	shape of ~	～の形			
share_COMMON_0	share	share	共有する			
share ~_COMMON_0	share ~	share ~	～を共有する			
shared_COMMON_0	shared	shared	共有の			
she does too._COMMON_0	She does too.	she does too.	彼女も			
sheet_COMMON_0	sheet	sheet	シーツ			
shoe_COMMON_0	shoe	shoe	くつ			
shoe store_COMMON_0	shoe store	shoe store	靴屋			
shop at a store_COMMON_0	shop at a store	shop at a store	店で買い物をする			
shorts_COMMON_0	shorts	shorts	短パン			
shot_COMMON_0	shot	shot	注射			
should do_COMMON_0	should do	should do	～するべきだ			
shout at ~_COMMON_0	shout at ~	shout at ~	～に叫ぶ			
show ~_COMMON_0	show ~	show ~	見せる			
show a to b_COMMON_0	show A to B	show a to b	AをBに見せる			
shrimp_COMMON_0	shrimp	shrimp	エビ			
sidewalk_COMMON_0	sidewalk	sidewalk	歩道			
sing a song_COMMON_0	sing a song	sing a song	歌を歌う			
single person_COMMON_0	single person	single person	一人			
sir_COMMON_0	sir	sir	～君			
sit and wait_COMMON_0	sit and wait	sit and wait	座って待つ			
sit before ~_COMMON_0	sit before ~	sit before ~	～の前に座る			
sit down._COMMON_0	Sit down.	sit down.	座ってください			
sit quietly_COMMON_0	sit quietly	sit quietly	静かに座る			
sit there_COMMON_0	sit there	sit there	そこに座る			
six o'clock_COMMON_0	six o'clock	six o'clock	6時			
sixty_COMMON_0	sixty	sixty	60			
smaller_COMMON_0	smaller	smaller	より小さい			
smallest_COMMON_0	smallest	smallest	最も小さい			
smell like ~_COMMON_0	smell like ~	smell like ~	～のようなにおいがする			
smile at ~_COMMON_0	smile at ~	smile at ~	～に笑う			
snowing_COMMON_0	snowing	snowing	雪が降っている			
soccer game_COMMON_0	soccer game	soccer game	サッカーの試合			
sock_COMMON_0	sock	sock	くつした			
some ~_COMMON_0	some ~	some ~	いくつかの～			
somewhere_COMMON_0	somewhere	somewhere	どこか			
sound of ~_COMMON_0	sound of ~	sound of ~	～の音			
spaceship_COMMON_0	spaceship	spaceship	宇宙船			
speak ~_COMMON_0	speak ~	speak ~	〜を話す			
speed_COMMON_0	speed	speed	速さ			
spoke_COMMON_0	spoke	spoke	話した			
sponge_COMMON_0	sponge	sponge	スポンジ			
stand up._COMMON_0	Stand up.	stand up.	立ってください			
starlight_COMMON_0	starlight	starlight	星明かり			
start ~_COMMON_0	start ~	start ~	～を始める			
start to_COMMON_0	start to	start to	〜し始める			
station worker_COMMON_0	station worker	station worker	駅員			
stationery_COMMON_0	stationery	stationery	文房具			
stay in ~_COMMON_0	stay in ~	stay in ~	～に滞在する			
steering wheel_COMMON_0	steering wheel	steering wheel	ハンドル			
stop a from doing_COMMON_0	stop A from doing	stop a from doing	Aが～するのを止める			
stop at ~_COMMON_0	stop at ~	stop at ~	～で止まる			
stronger_COMMON_0	stronger	stronger	より強く			
strongest_COMMON_0	strongest	strongest	最も強い			
students_COMMON_0	students	students	学生たち			
study ~_COMMON_0	study ~	study ~	～を勉強する			
study abroad_COMMON_0	study abroad	study abroad	留学			
study english_COMMON_0	study English	study english	英語を勉強する			
studying_COMMON_0	studying	studying	勉強			
subtract_COMMON_0	subtract	subtract	引く			
summer vacation_COMMON_0	summer vacation	summer vacation	夏休み			
sunflower_COMMON_0	sunflower	sunflower	ひまわり			
support a_COMMON_0	support A	support a	Aを支える			
surely_COMMON_0	surely	surely	たしかに			
surround a with b_COMMON_0	surround A with B	surround a with b	AをBで囲む			
swan_COMMON_0	swan	swan	はくちょう			
swim to ~_COMMON_0	swim to ~	swim to ~	～まで泳いで行く			
swimming practice_COMMON_0	swimming practice	swimming practice	水泳の練習			
sydney_COMMON_0	Sydney	sydney	シドニー			
take ~_COMMON_0	take ~	take ~	～を連れて行く			
take a bus_COMMON_0	take a bus	take a bus	バスに乗る			
take a train_COMMON_0	take a train	take a train	電車に乗る			
take b out of a_COMMON_0	take B out of A	take b out of a	AからBを取り出す			
take care_COMMON_0	take care	take care	気をつけて			
take care._COMMON_0	Take care.	take care.	気をつけて			
take medicine_COMMON_0	take medicine	take medicine	くすりをのむ			
take off_COMMON_0	take off	take off	脱ぐ			
tallest_COMMON_0	tallest	tallest	最も背が高い			
taste like ~_COMMON_0	taste like ~	taste like ~	～のような味がする			
teach ~_COMMON_0	teach ~	teach ~	～を教える			
teachers_COMMON_0	teachers	teachers	先生たち			
technical school_COMMON_0	technical school	technical school	専門学校			
tell a b_COMMON_0	tell A B	tell a b	AにBを教える			
ten minutes_COMMON_0	ten minutes	ten minutes	10分間			
ten thousand_COMMON_0	ten thousand	ten thousand	1万			
tennis match_COMMON_0	tennis match	tennis match	テニスの試合			
text_COMMON_0	text	text	メッセージを送る			
thank you for your call_COMMON_0	thank you for your call	thank you for your call	お電話をありがとう			
thank you for your email_COMMON_0	thank you for your email	thank you for your email	メールをありがとう			
thank you for your help._COMMON_0	Thank you for your help.	thank you for your help.	手伝ってくれてありがとう			
thank you for your picture_COMMON_0	thank you for your picture	thank you for your picture	お写真をありがとう			
thank you for your present_COMMON_0	thank you for your present	thank you for your present	プレゼントをありがとう			
thank you._COMMON_0	Thank you.	thank you.	ありがとう			
that is_COMMON_0	that is	that is	あれは〜です			
that is too bad._COMMON_0	That is too bad.	that is too bad.	残念ですね			
that looks difficult._COMMON_0	That looks difficult.	that looks difficult.	それは難しそうです			
that looks expensive._COMMON_0	That looks expensive.	that looks expensive.	それは高そうです			
that looks strange._COMMON_0	That looks strange.	that looks strange.	それは変そうです			
that sounds late._COMMON_0	That sounds late.	that sounds late.	それは遅そうです			
that's easy._COMMON_0	That's easy.	that's easy.	それは簡単です			
that's great._COMMON_0	That's great.	that's great.	それはすばらしいです			
that's true._COMMON_0	That's true.	that's true.	それは本当です			
the next day_COMMON_0	the next day	the next day	次の日に			
the other_COMMON_0	the other	the other	もう一方の			
their_COMMON_0	their	their	彼らの			
theirs_COMMON_0	theirs	theirs	彼らのもの			
them_COMMON_0	them	them	彼らを			
these are expensive._COMMON_0	These are expensive.	these are expensive.	これらは高いです			
these are new._COMMON_0	These are new.	these are new.	これらは新しいです			
these are popular._COMMON_0	These are popular.	these are popular.	これらは人気です			
these are the same._COMMON_0	These are the same.	these are the same.	これらは同じです			
thirteenth_COMMON_0	thirteenth	thirteenth	13番目の			
thirty minutes_COMMON_0	thirty minutes	thirty minutes	30分間			
this afternoon_COMMON_0	this afternoon	this afternoon	今日の午後			
this book is very easy._COMMON_0	This book is very easy.	this book is very easy.	私はそれを知りません			
this is_COMMON_0	this is	this is	これは〜です			
this month_COMMON_0	this month	this month	今月			
this week_COMMON_0	this week	this week	今週			
this year_COMMON_0	this year	this year	今年			
those_COMMON_0	those	those	あれら			
thought_COMMON_0	thought	thought	考え			
through the school_COMMON_0	through the school	through the school	学校中で			
ticket gate_COMMON_0	ticket gate	ticket gate	改札			
tire_COMMON_0	tire	tire	タイヤ			
to your left_COMMON_0	to your left	to your left	あなたの左に			
to your right_COMMON_0	to your right	to your right	あなたの右に			
toe_COMMON_0	toe	toe	指			
tokyo_COMMON_0	Tokyo	tokyo	東京			
tomorrow morning_COMMON_0	tomorrow morning	tomorrow morning	明日の朝			
tomorrow night_COMMON_0	tomorrow night	tomorrow night	明日の夜			
ton_COMMON_0	ton	ton	トン			
tools_COMMON_0	tools	tools	道具			
toronto_COMMON_0	Toronto	toronto	トロント			
total_COMMON_0	total	total	合計			
tray_COMMON_0	tray	tray	お盆			
trio_COMMON_0	trio	trio	三人組			
troubled_COMMON_0	troubled	troubled	困った			
truck_COMMON_0	truck	truck	トラック			
trunk_COMMON_0	trunk	trunk	幹			
trust a_COMMON_0	trust A	trust a	Aを信じる			
turn ~ off_COMMON_0	turn ~ off	turn ~ off	～を消す			
turn ~ on_COMMON_0	turn ~ on	turn ~ on	～をつける			
turn ~ up_COMMON_0	turn ~ up	turn ~ up	～の音量を上げる			
turn down ~_COMMON_0	turn down ~	turn down ~	～を断る			
turtle_COMMON_0	turtle	turtle	かめ			
twenty minutes_COMMON_0	twenty minutes	twenty minutes	20分間			
twice_COMMON_0	twice	twice	二度			
twice a month_COMMON_0	twice a month	twice a month	1か月に2回			
twice a week_COMMON_0	twice a week	twice a week	1週間に2回			
twice a year_COMMON_0	twice a year	twice a year	1年に2回			
under ~_COMMON_0	under ~	under ~	〜の下に			
until now_COMMON_0	until now	until now	今まで			
use ~_COMMON_0	use ~	use ~	使う			
very fast._COMMON_0	Very fast.	very fast.	とても速い			
very good._COMMON_0	Very good.	very good.	とてもよい			
viewer_COMMON_0	viewer	viewer	観客			
violet_COMMON_0	violet	violet	すみれ			
visit ~_COMMON_0	visit ~	visit ~	～を訪ねる			
visit a at b_COMMON_0	visit A at B	visit a at b	AをBで訪ねる			
volleyball game_COMMON_0	volleyball game	volleyball game	バレーボールの試合			
wait at ~_COMMON_0	wait at ~	wait at ~	〜で待つ			
wait for_COMMON_0	wait for	wait for	待つ			
wait for a_COMMON_0	wait for A	wait for a	Aを待つ			
wait._COMMON_0	Wait.	wait.	待ってください			
walk slowly_COMMON_0	walk slowly	walk slowly	ゆっくり歩く			
walk to school_COMMON_0	walk to school	walk to school	学校へ歩いて行く			
walking_COMMON_0	walking	walking	散歩			
wall clock_COMMON_0	wall clock	wall clock	壁掛け時計			
want to_COMMON_0	want to	want to	〜したい			
wants_COMMON_0	wants	wants	〜したい			
wash ~_COMMON_0	wash ~	wash ~	洗う			
wash a_COMMON_0	wash A	wash a	Aを洗う			
wash dishes_COMMON_0	wash dishes	wash dishes	皿を洗う			
wash my face_COMMON_0	wash my face	wash my face	顔を洗う			
watch tv_COMMON_0	watch TV	watch tv	テレビを見る			
wave to ~_COMMON_0	wave to ~	wave to ~	～に手を振る			
we_COMMON_0	we	we	私たち			
we can ~._COMMON_0	We can ~.	we can ~.	～できる			
we did_COMMON_0	we did	we did	私たちは〜しました			
we do too._COMMON_0	We do too.	we do too.	私たちも			
we must ~._COMMON_0	We must ~.	we must ~.	～しなければならない			
we want to ~._COMMON_0	We want to ~.	we want to ~.	～したい			
we will ~._COMMON_0	We will ~.	we will ~.	～する予定だ			
wear ~_COMMON_0	wear ~	wear ~	着る			
weekly_COMMON_0	weekly	weekly	毎週			
went_COMMON_0	went	went	行った			
we're_COMMON_0	we're	we're	私たちは〜です			
what are you eating?_COMMON_0	What are you eating?	what are you eating?	何を食べますか			
what color do you like?_COMMON_0	What color do you like?	what color do you like?	何色が好きですか？			
what day is it today?_COMMON_0	What day is it today?	what day is it today?	今日は何曜日ですか			
what do you want?_COMMON_0	What do you want?	what do you want?	何がほしいですか？			
what is the date today?_COMMON_0	What is the date today?	what is the date today?	今日は何日ですか			
what is this?_COMMON_0	What is this?	what is this?	これは何ですか			
what is your name?_COMMON_0	What is your name?	what is your name?	お名前は何ですか？			
what shall we eat?_COMMON_0	What shall we eat?	what shall we eat?	何を食べましょうか			
what time do you get up?_COMMON_0	What time do you get up?	what time do you get up?	何時に起きますか？			
what time do you go to school?_COMMON_0	What time do you go to school?	what time do you go to school?	何時に学校へ行きますか			
what time is it now?_COMMON_0	What time is it now?	what time is it now?	今何時ですか			
what time is it?_COMMON_0	What time is it?	what time is it?	何時ですか？			
what time will you go?_COMMON_0	What time will you go?	what time will you go?	何時に行きますか？			
what's your name?_COMMON_0	What's your name?	what's your name?	お名前は何ですか？			
when are you coming?_COMMON_0	When are you coming?	when are you coming?	いつ来ますか			
when shall we leave?_COMMON_0	When shall we leave?	when shall we leave?	いつ出発しましょうか			
when will you go?_COMMON_0	When will you go?	when will you go?	いつ行きますか			
when's_COMMON_0	when's	when's	いつですか			
where are you going?_COMMON_0	Where are you going?	where are you going?	どこへ行くの？			
where are you?_COMMON_0	Where are you?	where are you?	どこですか？			
where do you live?_COMMON_0	Where do you live?	where do you live?	どこに住んでいますか？			
where is ~?_COMMON_0	Where is ~?	where is ~?	～はどこですか			
where is it?_COMMON_0	Where is it?	where is it?	どこにありますか			
where is the station?_COMMON_0	Where is the station?	where is the station?	駅はどこですか			
where is your school?_COMMON_0	Where is your school?	where is your school?	学校はどこですか			
which do you like?_COMMON_0	Which do you like?	which do you like?	どちらが好きですか			
which is_COMMON_0	which is	which is	どちらですか			
which one is yours?_COMMON_0	Which one is yours?	which one is yours?	どれがあなたのですか？			
while ~_COMMON_0	while ~	while ~	～する間			
whisker_COMMON_0	whisker	whisker	ひげ			
who are you talking to?_COMMON_0	Who are you talking to?	who are you talking to?	誰と話していますか			
who do you go to school with?_COMMON_0	Who do you go to school with?	who do you go to school with?	だれと学校へ行きますか			
who is this?_COMMON_0	Who is this?	who is this?	また後で電話します			
who shall we go with?_COMMON_0	Who shall we go with?	who shall we go with?	だれと行きましょうか			
who will come?_COMMON_0	Who will come?	who will come?	だれが来ますか			
who's_COMMON_0	who's	who's	だれですか			
whose is ~?_COMMON_0	Whose is ~?	whose is ~?	～はだれのものですか			
whose is this?_COMMON_0	Whose is this?	whose is this?	だれのものですか			
why's_COMMON_0	why's	why's	なぜですか			
will do_COMMON_0	will do	will do	これから～する			
will you close the door?_COMMON_0	Will you close the door?	will you close the door?	ドアを閉めてくれますか			
will you come here?_COMMON_0	Will you come here?	will you come here?	ここに来てくれますか			
will you come with me?_COMMON_0	Will you come with me?	will you come with me?	来てくれますか			
will you show me?_COMMON_0	Will you show me?	will you show me?	見せてくれますか			
will you tell me?_COMMON_0	Will you tell me?	will you tell me?	教えてくれますか			
will you wait a minute?_COMMON_0	Will you wait a minute?	will you wait a minute?	少し待ってくれますか			
will you wait for me?_COMMON_0	Will you wait for me?	will you wait for me?	待ってくれますか			
witch_COMMON_0	witch	witch	魔女			
with ~_COMMON_0	with ~	with ~	～といっしょに			
wolf_COMMON_0	wolf	wolf	オオカミ			
worst_COMMON_0	worst	worst	最も悪い			
write ~_COMMON_0	write ~	write ~	～を書く			
write a letter_COMMON_0	write a letter	write a letter	手紙を書く			
write a name_COMMON_0	write a name	write a name	名前を書く			
write about ~_COMMON_0	write about ~	write about ~	〜を書く			
yesterday morning_COMMON_0	yesterday morning	yesterday morning	昨日の朝			
you can_COMMON_0	you can	you can	あなたは〜できます			
you too._COMMON_0	You too.	you too.	あなたも			
youngest_COMMON_0	youngest	youngest	最も若い			
yours_COMMON_0	yours	yours	あなたたちのもの			
yourself_COMMON_0	yourself	yourself	あなた自身			
sumo_COMMON_0	sumo	sumo	相撲
came_COMMON_0	came	came	来た
women_COMMON_0	women	women	女性たち
men_COMMON_0	men	men	男性たち
i'm sleepy_COMMON_0	I'm sleepy	i'm sleepy	眠いです
i'm hungry_COMMON_0	I'm hungry	i'm hungry	おなかがすいています
i'm ready_COMMON_0	I'm ready	i'm ready	準備ができています
i'm happy_COMMON_0	I'm happy	i'm happy	幸せです
be ready for_COMMON_0	be ready for	be ready for	～の準備ができている
be kind to_COMMON_0	be kind to	be kind to	～に親切にする
be from_COMMON_0	be from	be from	～の出身だ
wish_COMMON_0	wish	wish	願う
awesome_COMMON_0	awesome	awesome	素晴らしい
holder_COMMON_0	holder	holder	ホルダー、保持者
mat_COMMON_0	mat	mat	マット
donkey_COMMON_0	donkey	donkey	ロバ
are you hungry?_COMMON_0	Are you hungry?	are you hungry?	おなかがすいていますか
where is your notebook?_COMMON_0	Where is your notebook?	where is your notebook?	あなたのノートはどこですか
what is your favorite day?_COMMON_0	What is your favorite day?	what is your favorite day?	あなたの好きな日はいつですか
