"no	grade	word	japanese	description	sentence	japanese_sentence	pos	difficulty	frequency	""[""""年"""",""""月"""",""""週"""",""""日"""",""""時間""""]""	""[""""year"""",""""month"""",""""week"""",""""day"""",""""hour""""]""	""[""""year"""",""""ear"""",""""near"""",""""dear"""",""""yard""""]""	[]	[]"
400215	4	separate	分ける	to divide things into different parts or groups	Please separate the trash into two bags.	ごみを二つの袋に分けてください。	verb	4	3	""[""""分ける"""",""""集める"""",""""運ぶ"""",""""隠す"""",""""選ぶ""""]""	""[""""separate"""",""""collect"""",""""carry"""",""""hide"""",""""choose""""]""	""[""""separate"""",""""celebrate"""",""""secret"""",""""several"""",""""support""""]""	""[{""""word"""":""""divide"""",""""note"""":""""より基本的な語""""}]""	""[{""""word"""":""""combine"""",""""note"""":""""一つにまとめる""""}]"""
400216	4	commit	犯す	to do something bad or wrong	He did not commit the crime.	彼はその犯罪を犯していません。	verb	5	3	""[""""犯す"""",""""防ぐ"""",""""調べる"""",""""認める"""",""""逃げる""""]""	""[""""commit"""",""""prevent"""",""""investigate"""",""""admit"""",""""escape""""]""	""[""""commit"""",""""comment"""",""""connect"""",""""collect"""",""""correct""""]""	[]	[]"
400217	4	fulfill	果たす	to do what was promised or expected	She worked hard to fulfill her dream.	彼女は夢を果たすために一生懸命努力しました。	verb	5	2	""[""""果たす"""",""""失う"""",""""断る"""",""""変える"""",""""比べる""""]""	""[""""fulfill"""",""""lose"""",""""refuse"""",""""change"""",""""compare""""]""	""[""""fulfill"""",""""forget"""",""""forward"""",""""football"""",""""full""""]""	""[{""""word"""":""""achieve"""",""""note"""":""""目標などを達成する""""}]""	""[{""""word"""":""""fail"""",""""note"""":""""うまくいかない""""}]"""
400218	4	urgent	緊急の	needing quick action	This is an urgent message.	これは緊急のメッセージです。	adjective	4	3	""[""""緊急の"""",""""重要な"""",""""危険な"""",""""突然の"""",""""深刻な""""]""	""[""""urgent"""",""""important"""",""""dangerous"""",""""sudden"""",""""serious""""]""	""[""""urgent"""",""""agent"""",""""ancient"""",""""argent"""",""""origin""""]""	""[{""""word"""":""""important"""",""""note"""":""""urgent は「すぐ対応が必要」""""}]""	""[{""""word"""":""""unimportant"""",""""note"""":""""重要でない""""}]"""
400219	4	prosper	栄える	to do well and become successful	Small shops can prosper here.	小さな店はここで栄えることができます。	verb	5	2	""[""""栄える"""",""""成長する"""",""""改善する"""",""""競争する"""",""""節約する""""]""	""[""""prosper"""",""""grow"""",""""improve"""",""""compete"""",""""save""""]""	""[""""prosper"""",""""proper"""",""""promise"""",""""project"""",""""protect""""]""	""[{""""word"""":""""succeed"""",""""note"""":""""結果として成功する""""},{""""word"""":""""thrive"""",""""note"""":""""元気に栄える""""}]""	""[{""""word"""":""""fail"""",""""note"""":""""失敗する""""}]"""
400220	4	obey	従う	to do what someone tells you to do	Children should obey their parents.	子どもは親に従うべきです。	verb	4	3	""[""""従う"""",""""助ける"""",""""招く"""",""""選ぶ"""",""""許す""""]""	""[""""obey"""",""""help"""",""""invite"""",""""choose"""",""""allow""""]""	""[""""obey"""",""""away"""",""""open"""",""""okay"""",""""over""""]""	""[{""""word"""":""""follow"""",""""note"""":""""指示や規則に従う""""}]""	""[{""""word"""":""""disobey"""",""""note"""":""""従わない""""}]"""
400221	4	physician	医師	a doctor who treats sick people	The physician checked my throat.	その医師は私ののどを診た。	noun	4	2	""[""""医師"""",""""看護師"""",""""患者"""",""""薬剤師"""",""""外科医""""]""	""[""""physician"""",""""nurse"""",""""patient"""",""""pharmacist"""",""""surgeon""""]""	""[""""physician"""",""""position"""",""""decision"""",""""musician"""",""""vacation""""]""	""[{""""word"""":""""doctor"""",""""note"""":""""より一般的な語""""}]""	[]"
400222	4	surgeon	外科医	a doctor who does operations	The surgeon spoke to my family after the operation.	その外科医は手術のあとで私の家族に話した。	noun	4	2	""[""""外科医"""",""""医師"""",""""看護師"""",""""患者"""",""""薬剤師""""]""	""[""""surgeon"""",""""physician"""",""""nurse"""",""""patient"""",""""pharmacist""""]""	""[""""surgeon"""",""""certain"""",""""version"""",""""urgent"""",""""sermon""""]""	[]	[]"
400223	4	voluntary	自発的な	done by choice, not by force	Her voluntary work helped many children.	彼女の自発的な活動は多くの子どもたちを助けた。	adjective	4	2	""[""""自発的な"""",""""強制的な"""",""""定期的な"""",""""個人的な"""",""""公式な""""]""	""[""""voluntary"""",""""forced"""",""""regular"""",""""personal"""",""""official""""]""	""[""""voluntary"""",""""valuable"""",""""victory"""",""""ordinary"""",""""visitor""""]""	""[{""""word"""":""""willing"""",""""note"""":""""進んでやる気持ちがある""""}]""	""[{""""word"""":""""forced"""",""""note"""":""""自分の意思ではなく強いられた""""}]"""
400224	4	steer	操縦する	to control the direction of a vehicle	She learned to steer the boat.	彼女はそのボートを操縦することを学んだ。	verb	4	3	""[""""操縦する"""",""""修理する"""",""""止める"""",""""押す"""",""""運ぶ""""]""	""[""""steer"""",""""repair"""",""""stop"""",""""push"""",""""carry""""]""	""[""""steer"""",""""stair"""",""""steel"""",""""star"""",""""store""""]""	""[{""""word"""":""""control"""",""""note"""":""""方向や動きをうまく扱う""""}]""	[]"
400225	4	overnight	一晩で	during the night or by the next morning	The snow fell overnight.	雪は一晩で降り積もった。	adverb	4	3	""[""""一晩で"""",""""すぐに"""",""""ゆっくり"""",""""毎日"""",""""突然""""]""	""[""""overnight"""",""""quickly"""",""""slowly"""",""""daily"""",""""suddenly""""]""	""[""""overnight"""",""""overlook"""",""""overseas"""",""""underline"""",""""midnight""""]""	[]	[]"
400226	4	responsibility	責任	something that you must do or take care of	Cleaning the room is your responsibility.	部屋を掃除するのはあなたの責任です。	noun	5	4	""[""""責任"""",""""経験"""",""""意見"""",""""方法"""",""""結果""""]""	""[""""responsibility"""",""""experience"""",""""opinion"""",""""method"""",""""result""""]""	""[""""responsibility"""",""""possibility"""",""""activity"""",""""ability"""",""""community""""]""	""[{""""word"""":""""duty"""",""""note"""":""""するべき仕事という意味で近い""""}]""	[]"
400227	4	comfort	快適さ	a feeling of being relaxed and free from pain	These shoes give me great comfort.	この靴は私に大きな快適さを与えてくれる。	noun	4	3	""[""""快適さ"""",""""危険"""",""""静けさ"""",""""重さ"""",""""広さ""""]""	""[""""comfort"""",""""danger"""",""""silence"""",""""weight"""",""""width""""]""	""[""""comfort"""",""""concert"""",""""common"""",""""corner"""",""""compass""""]""	""[{""""word"""":""""ease"""",""""note"""":""""より短く基本的な語""""}]""	""[{""""word"""":""""discomfort"""",""""note"""":""""不快さ""""}]"""
400228	4	simplicity	簡単さ	the quality of being easy and not complicated	I like the simplicity of this design.	私はこのデザインの簡単さが好きです。	noun	5	2	""[""""簡単さ"""",""""美しさ"""",""""強さ"""",""""速さ"""",""""深さ""""]""	""[""""simplicity"""",""""beauty"""",""""strength"""",""""speed"""",""""depth""""]""	""[""""simplicity"""",""""similarity"""",""""security"""",""""activity"""",""""electricity""""]""	""[{""""word"""":""""plainness"""",""""note"""":""""飾り気のなさという意味でも使う""""}]""	""[{""""word"""":""""complexity"""",""""note"""":""""複雑さ""""}]"""
400229	4	swallow	飲み込む	to make food or drink go down your throat	He tried to swallow the pill quickly.	彼はその薬をすばやく飲み込もうとした。	verb	4	3	""[""""飲み込む"""",""""こぼす"""",""""混ぜる"""",""""焼く"""",""""冷やす""""]""	""[""""swallow"""",""""spill"""",""""mix"""",""""bake"""",""""cool""""]""	""[""""swallow"""",""""follow"""",""""sorrow"""",""""yellow"""",""""window""""]""	[]	""[{""""word"""":""""spit out"""",""""note"""":""""口から出す""""}]"""
400230	4	frame	額縁	a border that holds a picture or photo	She put the photo in a frame.	彼女はその写真を額縁に入れた。	noun	4	3	""[""""額縁"""",""""棚"""",""""引き出し"""",""""鏡"""",""""机""""]""	""[""""frame"""",""""shelf"""",""""drawer"""",""""mirror"""",""""desk""""]""	""[""""frame"""",""""flame"""",""""from"""",""""frog"""",""""fresh""""]""	""[{""""word"""":""""border"""",""""note"""":""""ふち、わくという意味で近い""""}]""	[]"
400231	4	rubber	ゴム	a strong material that can bend and stretch	These boots are made of rubber.	この長靴はゴムでできている。	noun	4	3	""[""""ゴム"""",""""金属"""",""""木材"""",""""布"""",""""ガラス""""]""	""[""""rubber"""",""""metal"""",""""wood"""",""""cloth"""",""""glass""""]""	""[""""rubber"""",""""runner"""",""""river"""",""""number"""",""""brother""""]""	[]	[]"
400232	4	vacant	空いている	not being used or filled	That seat is vacant now.	その席は今空いている。	adjective	5	2	""[""""空いている"""",""""混んでいる"""",""""汚れている"""",""""静かな"""",""""安全な""""]""	""[""""vacant"""",""""crowded"""",""""dirty"""",""""quiet"""",""""safe""""]""	""[""""vacant"""",""""bacon"""",""""wagon"""",""""vase"""",""""baker""""]""	""[{""""word"""":""""empty"""",""""note"""":""""より基本的な語""""}]""	""[{""""word"""":""""full"""",""""note"""":""""中に物や人が入っている状態""""},{""""word"""":""""occupied"""",""""note"""":""""場所や席が使われている""""}]"""
400233	4	divorce	離婚する	to legally end a marriage	They decided to divorce last year.	彼らは昨年、離婚することを決めました。	verb	4	3	""[""""離婚する"""",""""結婚する"""",""""別れる"""",""""再会する"""",""""同居する""""]""	""[""""divorce"""",""""marry"""",""""separate"""",""""meet"""",""""live""""]""	""[""""divorce"""",""""device"""",""""divide"""",""""diver"""",""""diving""""]""	""[{""""word"""":""""separate"""",""""note"""":""""夫婦が別れる意味で近い""""}]""	""[{""""word"""":""""marry"""",""""note"""":""""結婚する""""}]"""
400234	4	conclude	結論づける	to decide or say after thinking	We can conclude that he is right.	私たちは彼が正しいと結論づけることができます。	verb	5	3	""[""""結論づける"""",""""説明する"""",""""比較する"""",""""拒否する"""",""""想像する""""]""	""[""""conclude"""",""""explain"""",""""compare"""",""""refuse"""",""""imagine""""]""	""[""""conclude"""",""""confuse"""",""""control"""",""""connect"""",""""collect""""]""	""[{""""word"""":""""decide"""",""""note"""":""""より基本的な語""""}]""	[]"
400235	4	limit	制限する	to keep something from going beyond a point	We must limit the time for each speaker.	私たちは各話者の時間を制限しなければなりません。	verb	4	4	""[""""制限する"""",""""増やす"""",""""共有する"""",""""準備する"""",""""修理する""""]""	""[""""limit"""",""""increase"""",""""share"""",""""prepare"""",""""repair""""]""	""[""""limit"""",""""minute"""",""""visit"""",""""spirit"""",""""ticket""""]""	""[{""""word"""":""""restrict"""",""""note"""":""""ややかたいが近い意味""""}]""	""[{""""word"""":""""increase"""",""""note"""":""""量や範囲を増やす""""}]"""
400236	4	terminal	終着駅	the last station or stop of a bus, train, or airport line	We met at the bus terminal after school.	私たちは放課後にバスターミナルで会いました。	noun	4	3	""[""""終着駅"""",""""改札口"""",""""待合室"""",""""駐車場"""",""""案内所""""]""	""[""""terminal"""",""""platform"""",""""station"""",""""airport"""",""""gate""""]""	""[""""terminal"""",""""terrible"""",""""journal"""",""""tunnel"""",""""general""""]""	""[{""""word"""":""""station"""",""""note"""":""""広い意味の「駅」""""}]""	[]"
400237	4	opponent	対戦相手	a person or team you play or fight against	Our opponent was very strong in the final game.	私たちの対戦相手は決勝戦でとても強かったです。	noun	4	3	""[""""対戦相手"""",""""観客"""",""""審判"""",""""監督"""",""""味方""""]""	""[""""opponent"""",""""audience"""",""""referee"""",""""coach"""",""""teammate""""]""	""[""""opponent"""",""""open"""",""""important"""",""""office"""",""""elephant""""]""	""[{""""word"""":""""enemy"""",""""note"""":""""より広く「敵」""""},{""""word"""":""""rival"""",""""note"""":""""競争相手として使うことが多い""""}]""	""[{""""word"""":""""ally"""",""""note"""":""""味方、協力する相手""""}]"""
400238	4	rival	ライバル	a person, team, or company that competes with another	He is my rival in the tennis club.	彼はテニス部で私のライバルです。	noun	4	4	""[""""ライバル"""",""""仲間"""",""""観客"""",""""先生"""",""""審判""""]""	""[""""rival"""",""""friend"""",""""player"""",""""teacher"""",""""referee""""]""	""[""""rival"""",""""river"""",""""arrival"""",""""level"""",""""driver""""]""	""[{""""word"""":""""competitor"""",""""note"""":""""競争する相手""""},{""""word"""":""""opponent"""",""""note"""":""""試合の相手にも使う""""}]""	[]"
400239	4	radiation	放射線	energy that comes from a source in the form of rays	The machine gives off harmful radiation.	その機械は有害な放射線を出す。	noun	4	2	""[""""放射線"""",""""電気"""",""""熱"""",""""光"""",""""煙""""]""	""[""""radiation"""",""""electricity"""",""""heat"""",""""light"""",""""smoke""""]""	""[""""radiation"""",""""relation"""",""""vacation"""",""""station"""",""""nation""""]""	[]	[]"
400240	4	motor	モーター	a machine that makes something move	This fan has a small motor inside.	この扇風機の中には小さなモーターがある。	noun	3	3	""[""""モーター"""",""""エンジン"""",""""車輪"""",""""ブレーキ"""",""""ハンドル""""]""	""[""""motor"""",""""engine"""",""""wheel"""",""""brake"""",""""handle""""]""	""[""""motor"""",""""meter"""",""""mother"""",""""motto"""",""""modern""""]""	""[{""""word"""":""""engine"""",""""note"""":""""engine は特に乗り物のエンジンでよく使う""""}]""	[]"
400241	4	sufficient	十分な	as much as needed	We have sufficient time to finish the work.	私たちにはその仕事を終えるのに十分な時間がある。	adjective	4	2	""[""""十分な"""",""""不足した"""",""""高価な"""",""""簡単な"""",""""安全な""""]""	""[""""sufficient"""",""""limited"""",""""expensive"""",""""easy"""",""""safe""""]""	""[""""sufficient"""",""""efficient"""",""""different"""",""""important"""",""""confident""""]""	""[{""""word"""":""""enough"""",""""note"""":""""より基本的で日常的な語""""}]""	""[{""""word"""":""""insufficient"""",""""note"""":""""必要な量に足りない""""}]"""
400242	4	invade	侵略する	to enter a country by force	The army tried to invade the country.	その軍隊はその国に侵略しようとした。	verb	4	2	""[""""侵略する"""",""""建てる"""",""""守る"""",""""発見する"""",""""訪れる""""]""	""[""""invade"""",""""protect"""",""""discover"""",""""visit"""",""""build""""]""	""[""""invade"""",""""invent"""",""""include"""",""""increase"""",""""invite""""]""	""[{""""word"""":""""attack"""",""""note"""":""""より広い意味で「攻撃する」""""}]""	""[{""""word"""":""""defend"""",""""note"""":""""「守る」""""}]"""
400243	4	lobby	ロビー	a large entrance area in a building	Let's meet in the hotel lobby.	ホテルのロビーで会いましょう。	noun	3	3	""[""""ロビー"""",""""廊下"""",""""屋上"""",""""地下室"""",""""教室""""]""	""[""""lobby"""",""""hallway"""",""""rooftop"""",""""basement"""",""""classroom""""]""	""[""""lobby"""",""""robber"""",""""hobby"""",""""copy"""",""""lovely""""]""	""[{""""word"""":""""entrance hall"""",""""note"""":""""より説明的な言い方""""}]""	[]"
400244	4	get away with	～しても罰を受けない	to do something wrong and not be punished	He got away with telling a lie.	彼はうそをついても罰を受けなかった。	verb	4	3	""[""""～しても罰を受けない"""",""""～から逃げる"""",""""～をあきらめる"""",""""～を片づける"""",""""～に追いつく""""]""	""[""""get away with"""",""""run away from"""",""""give up"""",""""put away"""",""""catch up with""""]""	""[""""get away with"""",""""get along with"""",""""get over it"""",""""get out of"""",""""get back to""""]""	[]	[]"
400245	4	get away from	～から離れる	to move away from a person or place	She wanted to get away from the noisy city.	彼女はそのうるさい町から離れたかった。	verb	4	3	""[""""～から離れる"""",""""～しても罰を受けない"""",""""～に近づく"""",""""～を見つける"""",""""～を待つ""""]""	""[""""get away from"""",""""get away with"""",""""approach"""",""""find"""",""""wait for""""]""	""[""""get away from"""",""""get away with"""",""""get along with"""",""""get back from"""",""""get out of""""]""	[]	[]"
400246	4	and so on	など	and other similar things	We talked about music, movies, sports, and so on.	私たちは音楽や映画やスポーツなどについて話しました。	conjunction	3	4	""[""""など"""",""""しかし"""",""""たとえば"""",""""その代わりに"""",""""実は""""]""	""[""""and so on"""",""""however"""",""""for example"""",""""instead"""",""""actually""""]""	""[""""and so on"""",""""and so off"""",""""and so long"""",""""and so far"""",""""and so much""""]""	""[{""""word"""":""""etc."""",""""note"""":""""書き言葉でよく使う""""}]""	[]"
400247	4	nevertheless	それでも	in spite of that	It was raining; nevertheless, we went out.	雨が降っていたが、それでも私たちは出かけた。	adverb	4	2	""[""""それでも"""",""""したがって"""",""""たとえば"""",""""その後"""",""""たぶん""""]""	""[""""nevertheless"""",""""therefore"""",""""however"""",""""besides"""",""""instead""""]""	""[""""nevertheless"""",""""never"""",""""nervous"""",""""weather"""",""""whether""""]""	""[{""""word"""":""""however"""",""""note"""":""""より一般的な語""""},{""""word"""":""""still"""",""""note"""":""""文脈によって近い""""}]""	""[{""""word"""":""""therefore"""",""""note"""":""""結果を表す語""""}]"""
400248	4	phenomenon	現象	something that happens and can be seen or studied	Rainbows are a natural phenomenon.	虹は自然現象です。	noun	5	2	""[""""現象"""",""""制度"""",""""実験"""",""""結果"""",""""理論""""]""	""[""""phenomenon"""",""""experiment"""",""""theory"""",""""system"""",""""result""""]""	""[""""phenomenon"""",""""telephone"""",""""festival"""",""""favorite"""",""""elephant""""]""	[]	[]"
400249	4	exhibition	展示会	a public show of art or other things	We visited an art exhibition on Sunday.	私たちは日曜日に美術の展示会を訪れた。	noun	4	3	""[""""展示会"""",""""競技会"""",""""会議"""",""""式典"""",""""遠足""""]""	""[""""exhibition"""",""""competition"""",""""conference"""",""""ceremony"""",""""excursion""""]""	""[""""exhibition"""",""""expedition"""",""""education"""",""""condition"""",""""position""""]""	""[{""""word"""":""""show"""",""""note"""":""""より広い意味で使う""""}]""	[]"
400250	4	universal	普遍的な	true or used in all places or for all people	Music is a universal language.	音楽は普遍的な言語です。	adjective	4	3	""[""""普遍的な"""",""""正確な"""",""""個別の"""",""""伝統的な"""",""""危険な""""]""	""[""""universal"""",""""precise"""",""""private"""",""""traditional"""",""""dangerous""""]""	""[""""universal"""",""""universe"""",""""usual"""",""""uniform"""",""""natural""""]""	""[{""""word"""":""""general"""",""""note"""":""""より広く一般的な意味""""},{""""word"""":""""common"""",""""note"""":""""ふつうによく見られる意味でも使う""""}]""	""[{""""word"""":""""limited"""",""""note"""":""""限られた""""},{""""word"""":""""particular"""",""""note"""":""""特定の""""}]"""
400251	4	precise	正確な	very exact and correct	Please give me a precise answer.	正確な答えをください。	adjective	4	3	""[""""正確な"""",""""普遍的な"""",""""曖昧な"""",""""静かな"""",""""高価な""""]""	""[""""precise"""",""""universal"""",""""vague"""",""""quiet"""",""""expensive""""]""	""[""""precise"""",""""price"""",""""practice"""",""""surprise"""",""""polite""""]""	""[{""""word"""":""""exact"""",""""note"""":""""ぴったり正しい""""},{""""word"""":""""accurate"""",""""note"""":""""情報や数字が正確""""}]""	""[{""""word"""":""""vague"""",""""note"""":""""あいまいな""""},{""""word"""":""""rough"""",""""note"""":""""大まかな""""}]"""
400252	4	instance	例	an example of something	This is a good instance of teamwork.	これはチームワークのよい例です。	noun	4	3	""[""""例"""",""""原因"""",""""結果"""",""""方法"""",""""意見""""]""	""[""""instance"""",""""cause"""",""""result"""",""""method"""",""""opinion""""]""	""[""""instance"""",""""instant"""",""""instead"""",""""distance"""",""""entrance""""]""	""[{""""word"""":""""example"""",""""note"""":""""もっとも基本的な語""""},{""""word"""":""""case"""",""""note"""":""""事例という意味""""}]""	[]"
400253	4	dramatic	劇的な	very great and surprising	The city saw a dramatic change last year.	その町は昨年、劇的な変化を経験した。	adjective	4	3	""[""""劇的な"""",""""穏やかな"""",""""小さな"""",""""突然の"""",""""重要な""""]""	""[""""dramatic"""",""""peaceful"""",""""minor"""",""""sudden"""",""""important""""]""	""[""""dramatic"""",""""dynamic"""",""""dramaticly"""",""""drama"""",""""automatic""""]""	""[{""""word"""":""""striking"""",""""note"""":""""目立つほど強い印象""""},{""""word"""":""""sudden"""",""""note"""":""""文脈によっては急激な変化を表す""""}]""	""[{""""word"""":""""slight"""",""""note"""":""""変化などが小さい""""},{""""word"""":""""gradual"""",""""note"""":""""少しずつの""""}]"""
400254	4	due	期限の	expected or required at a certain time	My homework is due tomorrow.	私の宿題の期限は明日です。	adjective	4	4	""[""""期限の"""",""""無料の"""",""""安全な"""",""""有名な"""",""""必要な""""]""	""[""""due"""",""""free"""",""""safe"""",""""famous"""",""""necessary""""]""	""[""""due"""",""""do"""",""""dew"""",""""blue"""",""""few""""]""	[]	""[{""""word"""":""""late"""",""""note"""":""""期限に遅れた""""}]"""
400255	4	go through	経験する	to experience something difficult or important	She went through a hard time last year.	彼女は昨年つらい時期を経験した。	verb	4	3	""[""""経験する"""",""""避ける"""",""""説明する"""",""""集める"""",""""選ぶ""""]""	""[""""go through"""",""""avoid"""",""""explain"""",""""collect"""",""""choose""""]""	""[""""go through"""",""""grow through"""",""""go true"""",""""go to"""",""""get through""""]""	""[{""""word"""":""""experience"""",""""note"""":""""最も近い基本語""""}]""	[]"
400256	4	veteran	ベテラン	a person with a lot of experience	He is a veteran teacher.	彼はベテランの先生です。	noun	4	3	""[""""ベテラン"""",""""初心者"""",""""選手"""",""""観客"""",""""案内人""""]""	""[""""veteran"""",""""beginner"""",""""player"""",""""visitor"""",""""leader""""]""	""[""""veteran"""",""""visitor"""",""""victory"""",""""vitamin"""",""""weather""""]""	""[{""""word"""":""""expert"""",""""note"""":""""skillが高い人""""},{""""word"""":""""specialist"""",""""note"""":""""特定分野の専門家""""}]""	""[{""""word"""":""""beginner"""",""""note"""":""""経験が少ない人""""}]"""
400257	4	professional	プロの	doing a job for money and with skill	She is a professional tennis player.	彼女はプロのテニス選手です。	adjective	4	4	""[""""プロの"""",""""有名な"""",""""若い"""",""""静かな"""",""""危険な""""]""	""[""""professional"""",""""famous"""",""""young"""",""""quiet"""",""""dangerous""""]""	""[""""professional"""",""""traditional"""",""""national"""",""""special"""",""""personal""""]""	""[{""""word"""":""""skilled"""",""""note"""":""""技術がある""""},{""""word"""":""""expert"""",""""note"""":""""とても上手な""""}]""	""[{""""word"""":""""amateur"""",""""note"""":""""趣味で行う人の""""}]"""
400258	4	define	定義する	to explain the meaning of a word or idea	Can you define this word?	この単語を定義できますか。	verb	4	3	""[""""定義する"""",""""比較する"""",""""繰り返す"""",""""発見する"""",""""運ぶ""""]""	""[""""define"""",""""compare"""",""""repeat"""",""""discover"""",""""carry""""]""	""[""""define"""",""""design"""",""""decline"""",""""decide"""",""""refine""""]""	""[{""""word"""":""""explain"""",""""note"""":""""意味を説明する""""},{""""word"""":""""describe"""",""""note"""":""""内容を言葉で表す""""}]""	[]"
400259	4	bomb	爆弾	a weapon that explodes	The police found a bomb in the bag.	警察はそのかばんの中に爆弾を見つけた。	noun	4	3	""[""""爆弾"""",""""銃"""",""""ナイフ"""",""""弾丸"""",""""武器""""]""	""[""""bomb"""",""""gun"""",""""knife"""",""""bullet"""",""""weapon""""]""	""[""""bomb"""",""""bond"""",""""box"""",""""bank"""",""""bump""""]""	[]	[]"
400260	4	spare	予備の	extra and ready to use if needed	Do you have a spare key?	予備の鍵を持っていますか。	adjective	4	4	""[""""予備の"""",""""空の"""",""""重い"""",""""安全な"""",""""便利な""""]""	""[""""spare"""",""""empty"""",""""heavy"""",""""safe"""",""""useful""""]""	""[""""spare"""",""""space"""",""""spear"""",""""spell"""",""""stare""""]""	""[{""""word"""":""""extra"""",""""note"""":""""追加の、余分な""""}]""	[]"
400261	4	radical	急進的な	supporting very big changes	The group wanted radical change.	その団体は急進的な変化を求めていた。	adjective	5	2	""[""""急進的な"""",""""伝統的な"""",""""穏やかな"""",""""現実的な"""",""""一般的な""""]""	""[""""radical"""",""""traditional"""",""""calm"""",""""practical"""",""""common""""]""	""[""""radical"""",""""medical"""",""""logical"""",""""regular"""",""""critical""""]""	[]	""[{""""word"""":""""conservative"""",""""note"""":""""変化より伝統を重んじる""""}]"""
400262	4	proof	証拠	facts or signs that show something is true	Do you have any proof of your story?	あなたの話の証拠はありますか。	noun	4	3	""[""""証拠"""",""""約束"""",""""意見"""",""""方法"""",""""結果""""]""	""[""""proof"""",""""promise"""",""""opinion"""",""""method"""",""""result""""]""	""[""""proof"""",""""roof"""",""""proud"""",""""group"""",""""prove""""]""	""[{""""word"""":""""evidence"""",""""note"""":""""より一般的な『証拠』""""}]""	[]"
400263	4	industrial	産業の	related to industry or factories	The city is an industrial area.	その都市は工業地域です。	adjective	5	3	""[""""産業の"""",""""自然の"""",""""個人的な"""",""""伝統的な"""",""""国際的な""""]""	""[""""industrial"""",""""natural"""",""""personal"""",""""traditional"""",""""international""""]""	""[""""industrial"""",""""individual"""",""""interesting"""",""""internal"""",""""insect""""]""	[]	[]"
400264	4	mill	工場	a building where things are made or processed	My grandfather worked in a mill.	私の祖父は工場で働いていました。	noun	4	2	""[""""工場"""",""""農場"""",""""市場"""",""""駅"""",""""倉庫""""]""	""[""""mill"""",""""farm"""",""""market"""",""""station"""",""""warehouse""""]""	""[""""mill"""",""""milk"""",""""meal"""",""""hill"""",""""mail""""]""	""[{""""word"""":""""factory"""",""""note"""":""""より一般的な語""""}]""	[]"
400265	4	data	データ	facts or information used for study or work	The computer stores a lot of data.	そのコンピューターはたくさんのデータを保存します。	noun	4	3	""[""""データ"""",""""情報"""",""""記号"""",""""機械"""",""""計画""""]""	""[""""data"""",""""report"""",""""record"""",""""detail"""",""""result""""]""	""[""""data"""",""""later"""",""""daily"""",""""delta"""",""""date""""]""	""[{""""word"""":""""information"""",""""note"""":""""より広い意味で使うことが多い""""}]""	[]"
400266	4	objective	目標	something you are trying to achieve	Our main objective is to help students learn.	私たちの主な目標は、生徒が学ぶのを助けることです。	noun	5	2	""[""""目標"""",""""方法"""",""""結果"""",""""理由"""",""""規則""""]""	""[""""objective"""",""""purpose"""",""""method"""",""""result"""",""""rule""""]""	""[""""objective"""",""""object"""",""""obvious"""",""""active"""",""""subject""""]""	""[{""""word"""":""""goal"""",""""note"""":""""より日常的な語""""},{""""word"""":""""aim"""",""""note"""":""""ねらいの意味で近い""""}]""	[]"
400267	4	justice	正義	fair treatment and what is right	People want justice for the victim.	人々はその被害者のための正義を求めています。	noun	5	2	""[""""正義"""",""""自由"""",""""平和"""",""""法律"""",""""真実""""]""	""[""""justice"""",""""freedom"""",""""peace"""",""""law"""",""""truth""""]""	""[""""justice"""",""""just"""",""""judge"""",""""practice"""",""""artist""""]""	""[{""""word"""":""""fairness"""",""""note"""":""""公平さという意味で近い""""}]""	""[{""""word"""":""""injustice"""",""""note"""":""""不正、不公平""""}]"""
400268	4	religion	宗教	a system of belief about God or gods	Religion is important to some people.	宗教は人によっては大切です。	noun	4	3	""[""""宗教"""",""""文化"""",""""歴史"""",""""伝統"""",""""法律""""]""	""[""""religion"""",""""culture"""",""""history"""",""""tradition"""",""""law""""]""	""[""""religion"""",""""region"""",""""relation"""",""""revision"""",""""decision""""]""	""[{""""word"""":""""faith"""",""""note"""":""""信仰という意味で近い""""}]""	[]"
400269	4	loyalty	忠誠心	strong support for a person, group, or country	Her loyalty to the team was strong.	彼女のチームへの忠誠心は強かった。	noun	4	2	""[""""忠誠心"""",""""勇気"""",""""親切"""",""""努力"""",""""責任""""]""	""[""""loyalty"""",""""courage"""",""""kindness"""",""""effort"""",""""duty""""]""	""[""""loyalty"""",""""royalty"""",""""variety"""",""""society"""",""""reality""""]""	[]	[]"
400270	4	loyal	忠実な	always supporting a person, group, or idea	He is loyal to his friends.	彼は友達に忠実です。	adjective	4	3	""[""""忠実な"""",""""正直な"""",""""親切な"""",""""勇敢な"""",""""静かな""""]""	""[""""loyal"""",""""honest"""",""""kind"""",""""brave"""",""""quiet""""]""	""[""""loyal"""",""""royal"""",""""local"""",""""normal"""",""""final""""]""	""[{""""word"""":""""faithful"""",""""note"""":""""より『裏切らない』感じが強い""""}]""	""[{""""word"""":""""disloyal"""",""""note"""":""""忠実でない""""}]"""
